pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
264.773621,177.952450,188.692782,211.185803,162.319421,217.655742,214.363425,178.232808,234.172608,182.347880,158.193462,255.358418,146.071276,253.919411
265.452009,177.934868,194.900623,213.457202,169.477662,219.173324,214.863425,177.732808,234.989152,180.948616,163.452725,255.118449,151.983085,253.919411
265.791203,177.434868,200.395752,217.000000,174.226379,222.565265,214.863425,178.049352,235.122240,180.132072,168.272172,257.058264,156.530171,255.495893
264.112815,176.756479,205.906770,219.558687,179.814291,224.600430,214.546881,178.498984,235.255328,178.865896,174.291465,258.238049,162.139040,256.678255
264.112815,176.756479,211.417789,221.330086,186.080590,225.796400,214.546881,178.815528,235.071872,178.416264,181.250574,258.717988,169.430272,257.360617
264.112815,176.756479,218.503384,222.314197,193.703666,226.313982,214.546881,179.132072,235.571872,178.416264,189.389468,259.457957,177.115624,257.860617
263.630397,176.934868,224.514403,222.814197,201.826742,226.813982,214.730337,179.948616,235.571872,178.416264,198.028362,259.197926,185.286277,257.663556
263.630397,176.934868,230.903176,222.133264,209.467401,227.313982,214.730337,180.448616,235.571872,177.916264,205.947349,258.957957,193.759870,257.663556
263.630397,176.934868,235.520551,221.633264,216.412089,227.492371,214.863425,180.765160,235.571872,177.916264,214.126365,258.478018,201.248162,256.875315
263.630397,176.934868,240.153815,220.255509,223.356776,226.635594,215.496513,181.265160,235.571872,177.916264,222.065413,257.778172,209.039393,255.692953
263.630397,176.934868,243.909324,218.861865,230.336629,225.100430,216.129601,182.664424,235.571872,177.916264,229.964338,256.078326,217.210047,254.313531
263.630397,176.934868,247.845766,217.696822,237.834064,224.404459,217.079233,183.297512,235.571872,177.916264,237.163416,254.878479,224.698338,253.131169
263.452009,176.613256,250.298097,216.803178,242.743587,223.904459,217.579233,184.247144,235.571872,177.916264,244.382556,254.398541,232.095449,252.145868
263.952009,176.613256,252.463140,216.409534,247.153110,224.065265,218.212321,185.696776,235.571872,177.916264,250.121757,255.118449,237.429885,252.824479
263.952009,176.613256,253.947251,216.590466,250.349081,224.565265,219.295040,187.146408,235.071872,178.416264,254.701235,256.338356,241.633838,253.525138
263.791203,176.434868,255.037717,216.484110,253.205857,224.743653,219.744672,188.412584,235.255328,178.732808,258.300774,256.078326,244.837791,253.025138
263.791203,176.434868,255.809116,216.484110,256.276186,224.404459,220.244672,189.545671,235.255328,179.549352,262.600160,255.618449,249.191415,252.298985
263.791203,176.434868,257.974159,216.196822,260.811351,223.904459,220.744672,190.678759,235.255328,179.865896,267.712004,255.766121,254.096027,252.474150
263.791203,176.434868,260.245558,215.696822,266.077650,224.261235,221.510848,192.128391,235.388416,179.998984,272.952138,257.093358,259.526133,254.225797
263.791203,176.434868,263.001067,215.409534,273.147980,224.743653,223.093568,194.578023,235.704960,180.632072,279.277930,258.351779,265.832063,255.627114
264.291203,176.434868,266.437509,215.212712,279.253473,223.726071,224.676288,198.027655,236.521504,182.265160,285.982934,257.972569,272.838651,255.601620
264.630397,176.274062,271.554883,215.015890,287.894132,223.047683,228.208640,203.275815,236.787679,185.531336,293.256754,256.903753,279.845240,254.225797
264.630397,176.274062,277.853190,215.319067,296.178014,222.547683,233.190624,209.023975,238.370399,189.912584,301.409784,256.214147,288.278641,253.875467
265.130397,176.274062,284.938786,214.622245,305.122702,222.386877,240.471135,214.304486,241.769663,194.578023,309.683603,256.903753,296.485888,254.225797
265.130397,176.274062,293.205314,214.531779,313.584972,222.386877,249.150911,217.851174,247.201279,199.092359,318.215844,257.541385,304.667642,254.926456
264.112815,176.595674,302.743240,214.441313,322.778377,222.386877,259.330686,220.016614,254.032159,202.890887,325.786113,257.379211,312.925878,255.276785
264.112815,176.595674,314.855744,212.669914,331.615006,222.386877,271.359358,220.149702,263.078846,204.056327,333.639978,257.379211,321.808757,255.383224
265.469591,176.595674,326.928435,215.001881,342.612440,223.047683,284.337661,216.566982,274.075166,203.239783,343.752263,257.126404,331.818640,255.383224
