Date,Filename,Vert.Calib,ML.Calib,Hz.Calib
110622,cal05,-0.7126,1.3243,1.3476
110623,cal06,-0.7268,1.3641,1.4318
110624,cal07,-0.735,1.3972,1.4542
110630,cal08,-0.7178,1.3396,1.3685
110707,cal09,-0.705,1.3532,1.4882
110715,cal10,-0.7103,1.3371,1.5625
110720,cal11,-0.7072,1.3511,1.4554
111209,cal12,-0.7133,1.3452,1.3519
111211,cal13,-0.7069,1.3259,1.4226
120706,cal14,-0.7093,1.3482,1.4317
120707,cal15,-0.7066,1.3973,1.5385
120708,cal16,-0.6949,1.328,1.5207
120710,cal17,-0.6963,1.3306,1.554
120712,cal18,-0.6969,1.3628,1.4782
120718,cal19,-0.6996,1.3726,1.5659
120722,cal20,-0.7023,1.3738,1.5111
121007,cal21,-0.7021,1.3405,1.441
121031,cal22,-0.7,1.3457,1.4377
121104,cal23,-0.7119,1.341,1.3793
121208,cal24,-0.701,1.3238,1.4027
121210,cal25,-0.7058,1.379,1.4626
121213,cal26,-0.714,1.3152,1.3415
121215,cal27,-0.7136,1.3216,1.3891
121217,cal28,-0.7175,1.3009,1.4322
130818,cal29,-0.6924,1.3363,1.5403
131008,cal30,-0.698,1.3693,1.5084
131009,cal31,-0.6951,1.3935,1.5214
131010,cal32,-0.6954,1.3946,1.547
131011,cal33,-0.6954,1.3931,1.455
140510,cal34,-0.6978,1.3298,1.4546
