pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
556.464496,454.973630,414.124308,473.021922,378.536068,414.212935,471.579937,456.840196,493.693333,456.170093,339.564654,368.212931,317.903800,375.383353
559.277204,452.810008,418.409100,477.186466,381.674598,417.105331,473.590246,458.180402,495.033539,457.510299,343.802547,370.899651,321.333489,378.313042
559.277204,452.593646,420.453397,481.775060,385.066994,420.874660,474.260349,460.020608,495.703641,459.520608,347.353720,373.586372,324.763178,380.756793
558.628118,452.593646,421.301496,484.319357,387.713256,422.005458,474.260349,461.530916,495.033539,460.190710,351.727160,374.086372,328.636618,380.270856
557.329944,452.593646,421.725545,486.015555,393.490316,422.128525,474.260349,462.201019,494.363436,460.860813,359.516227,374.221918,335.939747,379.284918
557.329944,452.593646,422.997694,487.287703,401.159772,421.120794,474.260349,462.701019,494.363436,460.860813,369.492014,372.764105,347.130379,377.841167
557.329944,452.593646,425.117941,487.711753,411.960027,419.989995,475.600555,462.701019,494.363436,461.530916,382.383428,371.577385,359.278823,376.369291
557.329944,452.593646,427.238189,487.711753,423.391080,419.613062,476.270658,462.701019,494.363436,461.530916,396.419375,370.212931,372.885081,375.397416
557.329944,452.593646,430.358436,487.211753,435.952932,419.989995,476.270658,462.701019,494.363436,461.530916,411.861962,371.670745,387.421028,375.411478
557.329944,452.593646,433.750832,486.439605,451.161046,420.743861,476.270658,462.701019,494.363436,461.530916,429.126816,372.441838,403.442913,375.911478
557.329944,452.593646,436.643228,483.047209,467.499958,423.759324,476.270658,462.701019,494.363436,461.530916,448.078390,374.357465,420.936674,376.869291
557.329944,452.593646,443.776118,479.654813,483.715803,427.659451,476.270658,462.701019,494.363436,461.530916,467.487777,378.959812,441.817936,380.298980
557.546307,452.593646,451.409009,479.230763,495.646857,432.182646,476.270658,462.701019,494.363436,462.201019,484.252630,383.333252,460.325759,382.728669
557.546307,452.593646,459.965949,480.078862,507.700977,436.959706,476.270658,463.371122,494.363436,462.871122,501.017484,388.071145,477.805457,385.630234
557.546307,452.593646,467.522890,480.851011,517.878165,440.852102,476.270658,463.371122,494.363436,462.871122,515.194543,392.905238,492.841404,388.017736
557.546307,452.593646,474.155780,481.699110,527.932286,444.998364,476.270658,463.371122,494.363436,462.871122,529.800801,395.834927,506.961725,389.989611
557.546307,452.593646,483.408919,482.547209,539.117205,448.144625,476.270658,463.371122,494.363436,462.871122,543.864872,398.764616,521.082045,392.433363
557.546307,452.593646,491.965859,483.819357,549.794392,450.652357,476.270658,463.371122,494.363436,462.871122,556.527379,403.567745,533.758614,395.863052
557.546307,452.593646,503.535442,485.939605,559.340782,453.544753,476.270658,463.371122,494.363436,462.871122,564.788322,407.997434,544.892997,400.708367
557.546307,452.593646,516.332878,488.983901,569.141036,455.552484,476.940760,463.371122,494.363436,462.871122,573.964891,409.927123,554.625815,403.109932
557.546307,452.593646,527.282214,491.604149,578.941291,458.314081,483.131481,466.381431,494.363436,462.871122,582.725833,412.870874,563.400819,407.025559
557.546307,452.593646,537.687253,495.268693,587.372345,461.452612,488.981995,470.231945,494.363436,462.871122,590.028962,415.286501,570.661762,409.927123
557.546307,452.593646,547.712540,498.661089,597.164868,464.091142,496.533539,474.592768,499.564465,463.881431,599.261780,416.258377,580.408642,411.828688
557.546307,452.593646,561.934024,500.009188,609.603653,465.221940,508.095391,479.623694,508.435596,467.231945,611.368038,417.188065,592.085211,412.328688
557.546307,452.593646,580.320053,500.009188,627.065632,464.091142,527.698477,484.644312,521.837654,471.922665,626.432110,416.716190,605.705531,412.314625
557.546307,452.593646,604.338973,496.616792,645.990917,463.034777,552.981976,487.494826,538.090226,477.283489,643.010244,415.716190,619.727416,411.356812
557.546307,452.593646,626.932049,491.618065,666.599158,459.016737,577.115988,490.355649,558.693313,483.134003,660.504004,412.314625,637.193052,409.427123
