pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
657.286099,596.028128,508.321856,548.713436,446.330242,534.792571,547.898488,578.589263,577.264071,590.708280,456.750398,489.411313,419.901927,502.004119
659.307417,595.528128,521.603632,548.852525,458.472929,535.931660,550.102725,579.657342,580.773989,593.723157,470.542694,490.257871,432.169287,502.897999
658.807417,595.028128,533.968141,548.852525,470.615616,534.014394,551.238883,580.225421,581.778948,593.728116,483.161711,488.411313,443.542766,502.004119
658.807417,594.528128,546.749917,547.352525,483.758304,530.040772,551.806962,580.793500,582.783907,593.728116,496.300564,485.544920,458.608086,497.216359
658.807417,594.528128,557.614427,546.713436,496.540080,523.788973,551.806962,580.793500,583.288866,593.228116,513.132533,479.831968,474.567286,490.832679
657.786099,594.028128,569.757114,546.713436,512.156388,517.398085,551.806962,580.293500,583.293825,592.223157,530.637780,474.272460,491.324445,482.853080
656.764780,594.028128,579.843446,548.352525,528.272697,511.646286,550.738883,579.225421,582.293825,591.208280,547.643027,469.059509,509.677525,475.969400
655.222143,594.028128,589.847044,552.687058,546.889006,507.033575,550.170804,578.657342,580.778948,590.198362,567.168110,465.693115,528.030604,469.787760
653.679506,594.028128,599.794287,559.077946,564.700759,506.033575,550.170804,578.089263,579.273989,589.188444,586.866472,464.539672,547.671444,466.797960
653.115550,594.028128,607.741531,569.164277,583.873423,510.507197,550.170804,578.089263,579.273989,589.188444,608.238113,469.252624,570.216363,468.585720
653.094232,594.049446,615.049685,581.446053,601.489731,520.093529,550.170804,578.589263,579.273989,589.688444,627.416639,480.178526,589.271483,477.363280
653.094232,594.592083,620.023307,591.671474,618.245129,530.179861,550.170804,579.089263,579.273989,591.203321,645.615001,491.624264,607.624563,488.534719
653.030276,594.464172,623.079662,596.923273,632.805083,535.931660,551.306962,579.089263,579.273989,591.703321,663.120248,500.030330,624.083762,494.620439
653.030276,594.464172,624.996928,597.284185,646.725947,535.431660,552.443120,578.089263,579.273989,591.703321,679.278938,502.203609,640.542962,495.120439
652.530276,594.464172,627.692372,593.588741,659.507723,532.014394,554.647357,573.953105,579.273989,591.703321,696.130742,499.337215,657.502162,492.428599
652.030276,594.464172,633.583260,588.254208,672.150411,528.179861,557.987751,571.612710,579.273989,591.203321,710.076481,495.970822,672.163401,487.640839
651.530276,594.464172,641.391415,583.280586,683.154009,526.762594,563.668541,568.863842,580.778948,589.203321,720.175662,494.124264,682.334841,485.949000
650.530276,594.464172,646.365036,583.502409,692.518519,529.318950,569.485488,567.795763,580.783907,589.203321,728.928285,495.970822,691.814441,488.544920
650.030276,594.464172,650.338658,583.780586,702.243939,533.514394,575.234356,568.500000,581.293825,589.703321,738.874024,498.837215,701.592001,491.832679
648.881046,594.464172,657.646812,584.280586,714.442982,536.348926,583.415145,568.500000,581.798784,589.698362,751.493041,502.550167,713.157320,495.620439
647.838409,594.464172,668.872233,585.419675,728.585669,538.683459,597.321355,569.000000,587.313661,588.173567,766.131895,505.243282,727.126720,498.514319
647.317090,594.464172,683.710364,585.141497,746.562889,541.100726,614.204118,570.000000,597.422760,586.158690,781.077633,506.089839,743.681840,501.195959
647.317090,594.464172,701.243939,586.558764,765.096464,542.157081,633.950723,573.408474,610.076491,586.158690,799.102716,506.416560,759.641039,502.993919
647.317090,594.464172,723.194781,587.058764,785.408217,542.017992,656.333486,576.953105,628.240139,586.173567,817.781242,505.570003,778.196159,502.993919
647.317090,594.464172,750.036510,587.336941,808.707964,539.084736,680.965116,575.476553,648.453379,583.133894,837.306326,500.857052,797.347198,500.600039
647.317090,594.464172,787.242750,586.558764,831.679989,531.859315,714.345616,576.544631,680.825308,577.579345,855.994151,494.543939,816.998238,496.610239
