pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
640.460445,426.890469,513.635949,475.801969,500.101833,489.886999,560.287039,429.363076,582.861743,428.397029,473.785819,555.863662,443.218418,562.330462
640.135902,424.943209,516.187707,478.715835,511.946883,490.714603,559.633130,429.363076,582.361743,427.376381,486.406139,555.863662,455.792059,561.690422
641.434075,421.697776,519.049816,481.388296,526.188548,490.714603,558.979220,429.363076,582.101419,427.095409,500.666500,552.990222,470.099099,558.910342
640.784988,419.750516,523.705089,485.733217,539.275005,490.628405,558.979220,430.190030,582.101419,427.095409,514.833500,550.396862,485.859459,556.223622
640.460445,418.127800,529.532822,489.957436,549.861462,491.869811,558.652265,431.805668,582.101419,427.355733,529.000501,550.350182,498.433100,556.316982
640.135902,417.478713,535.308798,493.802357,560.206513,491.783613,558.652265,433.940441,581.820447,427.876381,540.527461,550.850182,509.866700,556.863662
640.135902,417.154170,541.274423,496.974818,569.310157,492.369811,558.652265,434.594351,581.060124,428.397029,553.241141,550.850182,522.533700,556.270302
639.486815,417.154170,547.843562,499.267981,579.482812,492.369811,558.652265,435.902170,581.060124,429.157352,566.268101,550.350182,536.247381,555.130262
639.162272,417.154170,556.723053,501.871497,592.741665,491.128405,558.652265,436.556079,581.039476,429.417676,580.935102,549.256822,550.414381,554.630262
638.837728,417.154170,566.723247,502.733606,605.483330,489.300801,558.652265,437.863898,580.539476,429.917676,595.148782,547.663462,564.174741,553.490222
638.513185,417.154170,574.930278,503.354309,615.983589,489.059395,558.979220,440.152580,580.539476,430.417676,606.582382,547.616782,575.608342,553.490222
638.188642,417.154170,583.309769,504.164660,625.480569,490.120069,559.633130,442.941263,580.539476,431.178000,616.375943,548.210142,585.995262,552.943542
637.864098,417.154170,592.965236,504.233606,632.863274,490.714603,560.940948,446.037765,580.758505,433.479619,625.216183,548.710142,594.742142,553.990222
637.539555,417.154170,599.741212,504.475012,639.484107,491.628405,563.229631,450.134267,580.982230,436.266622,633.463063,548.710142,603.535702,553.990222
635.592295,418.127800,607.379297,504.975012,647.415355,492.128405,565.191359,454.230768,581.171878,440.301192,641.523223,549.256822,612.689223,554.536902
634.943209,418.776886,614.258788,505.475012,656.519000,492.369811,568.633951,459.442907,582.413284,443.715059,650.316783,549.756822,621.576143,554.583582
634.294122,419.425973,623.086522,505.164660,664.467437,492.283613,573.057408,465.501137,585.516799,447.749629,660.250384,549.210142,630.323023,554.490222
633.969579,420.075060,631.276364,505.164660,671.915873,492.783613,578.942592,471.059367,589.430666,452.094550,668.403904,549.210142,639.709943,554.036902
633.969579,420.075060,640.207613,504.854309,680.105716,492.697415,585.481686,476.809778,594.706642,456.129120,676.010744,550.350182,647.456823,554.490222
633.969579,420.075060,649.949213,503.302551,689.209360,493.025019,593.674689,480.906279,600.051563,459.232635,684.850984,551.943542,655.843744,554.490222
633.969579,420.075060,660.501165,502.681848,698.813005,493.852623,602.021602,483.829736,606.258594,462.336150,693.051185,553.083582,666.043944,555.630262
633.969579,420.075060,670.242765,500.819739,709.071858,491.456009,611.811107,486.426237,613.707030,465.318962,702.438105,553.583582,675.650784,556.723622
633.969579,420.075060,683.898232,497.354115,723.313523,487.973197,624.562340,488.253192,623.396873,466.870720,714.918385,552.536902,688.037704,555.676942
633.969579,420.075060,698.726160,493.198842,736.796594,483.921375,640.429210,487.637554,635.379879,467.370720,728.038705,551.396862,700.611345,553.990222
633.969579,420.075060,710.898815,488.716030,750.224650,481.585349,656.123035,484.329736,647.742183,465.750017,738.425626,551.396862,711.544945,554.083582
633.969579,420.075060,723.623227,486.543569,763.414579,479.981877,676.028999,472.848050,661.001165,457.611932,749.359226,551.396862,722.525225,553.676942
