pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
401.714137,375.040775,306.222202,345.135406,340.857371,294.335013,312.145013,350.738589,379.878165,354.522143,334.171695,261.076660,292.490531,268.999471
401.714137,375.040775,304.258276,345.315778,341.475939,294.835013,310.753236,350.810737,378.022462,357.305697,334.290263,261.813795,292.727666,270.473742
401.714137,375.040775,302.866499,344.815778,342.094506,295.835013,309.005756,350.882886,375.666759,360.053177,334.908830,262.932363,293.464801,271.710877
401.714137,375.040775,301.902573,344.315778,342.831641,296.072149,308.113979,350.418960,374.274982,361.908880,335.527398,263.669498,294.701936,272.566580
401.714137,375.040775,301.474722,344.315778,343.568777,296.572149,307.650053,349.955035,373.347131,363.300657,336.383101,263.788066,295.320504,273.185147
400.322360,375.040775,301.010796,344.315778,344.187344,296.572149,307.258276,349.455035,372.847131,364.228508,337.001668,263.788066,296.057639,273.185147
400.322360,375.040775,300.546870,343.424000,344.305912,296.572149,306.758276,348.955035,372.419279,365.192434,337.738803,263.788066,297.176207,273.185147
400.322360,375.040775,300.510796,342.424000,345.424479,296.690716,306.758276,348.563257,371.955354,365.656360,338.357371,263.788066,298.531910,272.566580
400.322360,375.040775,300.546870,341.496149,347.043047,296.190716,306.722202,348.099332,371.099651,366.584211,339.857371,263.669498,299.769045,272.448012
400.322360,375.040775,301.474722,340.140446,349.017317,295.572149,307.650053,346.707555,370.171800,367.048137,341.975939,262.432363,301.624748,271.210877
400.322360,375.040775,302.402573,337.712595,351.873020,295.953581,308.577904,345.351852,369.671800,367.048137,344.068777,261.813795,304.217586,270.829445
399.626471,375.040775,303.794350,336.356892,355.465858,295.572149,309.505756,343.924000,369.207874,366.584211,348.161615,261.695228,308.191856,270.710877
399.626471,375.040775,305.686127,334.037264,359.914399,296.072149,310.933607,341.568298,368.280023,366.584211,352.847291,262.050931,312.521829,270.329445
399.626471,375.040775,308.541830,330.898007,364.744372,296.572149,312.753236,338.892966,367.352171,366.120285,358.558696,262.550931,317.351802,270.948012
399.626471,375.040775,312.145013,327.186601,370.930048,297.546419,315.500716,335.645486,367.352171,365.120285,364.362940,264.169498,323.656046,271.185147
398.930583,375.040775,316.820344,322.047344,376.378589,298.546419,318.176047,330.934081,367.852171,364.656360,370.430048,264.406633,329.960290,271.303715
398.930583,375.040775,322.851378,318.335938,382.301400,299.664987,323.279230,327.150527,368.852171,363.656360,376.615724,266.143769,336.645966,272.303715
398.930583,375.040775,331.165967,316.944161,388.512806,300.402122,328.382412,323.439121,369.280023,363.192434,381.945697,266.499471,341.594506,272.922283
398.930583,375.040775,337.588778,314.732756,393.935617,301.139257,334.057744,321.583418,369.280023,362.692434,388.224211,267.499471,347.161615,272.922283
398.930583,375.040775,345.083738,312.913127,399.265590,301.139257,340.372332,319.872013,369.243948,362.692434,393.291320,266.999471,352.728723,273.303715
398.930583,375.040775,351.614772,312.413127,405.214131,301.139257,346.867292,317.872013,369.171800,363.228508,398.595563,266.236607,357.440129,272.685147
398.930583,375.040775,356.717954,311.377053,409.925537,301.020689,354.362252,317.908087,370.099651,363.264583,403.662672,265.855174,364.244372,271.948012
398.930583,375.040775,363.712914,309.913127,416.966915,300.164987,360.893286,316.980236,371.991428,363.264583,410.111213,264.380904,370.667183,270.710877
398.930583,375.040775,371.099651,309.521350,423.771159,298.309284,368.924320,315.516310,374.883205,362.836731,416.178321,263.406633,378.708562,268.355174
398.930583,375.040775,381.950314,307.557424,432.431105,295.953581,378.558536,314.160607,377.274982,362.872806,424.719700,261.169498,386.131373,265.262336
398.930583,375.040775,390.764902,306.201722,441.591052,293.742175,387.517422,312.660607,381.130685,362.872806,434.235349,258.195228,395.884158,262.050931
398.930583,375.040775,399.543416,304.346019,450.988133,291.005040,395.904159,310.696681,384.733868,361.981028,442.513863,255.602390,407.636942,258.220957
398.930583,375.040775,408.285856,302.026390,461.478053,287.912202,404.218747,308.021350,389.409199,360.589251,453.266647,252.390984,417.059753,254.509552
398.930583,375.040775,416.528295,300.098539,470.400864,284.937932,412.105484,305.701722,394.976307,358.517103,462.426594,249.298146,427.193970,250.798146
