pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y,pt5_cam1_X,pt5_cam1_Y,pt6_cam1_X,pt6_cam1_Y,pt7_cam1_X,pt7_cam1_Y
700.236045,453.467777,598.904295,486.417507,611.129322,550.175173,605.290374,481.754100,638.052542,466.239008,610.688438,582.508011,543.824631,585.296418
698.844268,453.003851,598.904295,487.536074,612.228998,550.675173,605.290374,482.405760,638.052542,466.239008,612.146120,582.508011,545.280000,586.020000
697.916416,452.539925,599.404295,487.963926,613.695232,550.675173,605.290374,483.057420,638.052542,466.239008,613.934527,582.508011,546.610000,586.280000
696.524639,452.539925,599.904295,488.773209,615.528025,550.641407,605.290374,483.709080,637.666373,466.625177,615.265253,583.008011,547.900000,586.710000
683.070794,449.756371,600.713579,489.510345,616.994259,550.641407,605.790374,484.686569,637.666373,466.897514,616.595978,583.423374,549.320000,587.250000
682.142943,449.756371,602.022863,489.747480,618.727377,551.141407,605.290374,485.489888,636.621698,467.556020,618.011341,583.881055,551.020000,587.400000
682.142943,449.756371,603.832146,491.412466,620.926728,551.874524,605.790374,487.444868,636.121698,468.442189,619.799748,584.838737,553.500000,588.270000
682.142943,449.756371,605.759998,493.768169,623.359197,552.974200,606.290374,489.551506,636.121698,469.600695,622.630474,585.754100,556.390000,588.830000
682.142943,449.756371,608.187849,495.742440,626.291665,554.440434,607.616204,491.983975,635.621698,471.145370,625.291926,586.669462,559.560000,589.460000
682.142943,449.756371,609.543552,497.907426,629.957251,555.906668,608.767863,495.742273,636.121698,473.190045,629.411058,588.042507,562.720000,590.490000
682.142943,449.756371,613.208539,500.190980,634.355954,557.739461,610.897013,498.000572,637.121698,474.893226,634.030191,589.415551,566.520000,591.590000
682.142943,449.756371,616.801377,502.546683,638.121215,559.938813,613.632801,499.955551,638.438711,475.710238,638.149324,591.246277,571.290000,593.200000
682.142943,449.756371,622.394215,504.902386,643.253036,561.771606,618.216929,502.888020,639.211048,477.096407,643.183820,592.661640,576.350000,594.790000
682.142943,449.756371,627.306636,505.824757,648.117973,563.970957,621.952717,504.865509,639.983385,478.027250,648.302953,594.907728,581.920000,596.270000
682.142943,449.756371,633.954529,507.125405,653.849469,566.403426,626.340165,506.168828,641.255723,478.913419,653.795130,596.738454,587.720000,597.750000
682.142943,449.756371,639.403069,508.424433,660.481289,567.736219,631.053442,506.972148,642.300398,479.571925,660.660351,598.611498,593.520000,599.220000
682.142943,449.756371,644.901448,510.223460,666.712784,569.835894,636.092550,508.427127,643.845072,480.616600,666.525573,600.442224,600.600000,600.000000
682.142943,449.756371,650.999503,510.773298,674.043956,571.168687,641.609146,508.927127,645.775916,481.388937,673.763839,602.272950,608.120000,600.930000
682.142943,449.756371,656.398205,511.223460,681.741686,573.268363,648.148254,509.578787,649.637603,482.047444,680.629060,604.061357,615.450000,601.460000
682.142943,449.756371,666.295287,510.573946,689.672533,572.535246,657.142340,508.927127,654.930134,481.547444,688.451963,606.392083,623.920000,601.680000
682.142943,449.756371,678.441558,507.974270,698.969939,571.668687,669.849704,505.691339,663.153508,478.844263,696.690229,606.765127,632.040000,601.090000
682.142943,449.756371,692.737342,501.975892,709.767345,568.003101,683.837877,499.478061,676.421557,473.799588,706.301539,605.392083,641.100000,597.110000
682.142943,449.756371,707.033127,491.279783,721.630661,559.705696,698.826050,489.354826,685.689606,468.734720,717.870530,600.399905,651.610000,590.510000
682.142943,449.756371,719.629560,481.432539,733.559887,550.675173,711.033414,480.079930,693.591679,462.942189,728.727929,591.746277,663.694847,582.261922
682.142943,449.756371,726.177777,478.083674,744.423203,545.676794,718.027501,477.973292,696.067198,462.714527,741.543009,584.838737,675.179201,578.973515
683.034720,449.720297,731.225993,479.332864,751.987492,545.643028,722.589119,479.973292,696.591679,464.421996,751.569682,582.050330,684.044423,581.261922
683.426497,449.720297,734.025020,480.532215,756.653077,546.509587,725.521587,481.624951,697.908691,464.808165,756.188815,582.550330,689.410000,583.400000
683.818274,449.720297,734.574858,481.082053,758.852429,546.509587,726.324907,482.602441,698.294860,465.466671,757.977222,582.550330,691.750000,583.850000
683.782200,449.720297,734.574858,481.631891,760.185222,546.009587,726.324907,482.754100,698.294860,465.466671,758.850266,582.550330,692.260000,583.330000
684.210051,449.720297,733.375507,482.231566,759.585546,546.276470,725.168164,483.116600,698.294860,465.852840,758.350266,582.550330,691.830000,582.860000
684.210051,449.720297,732.325669,483.381080,758.718987,546.276470,724.695757,484.231590,698.294860,466.239008,757.934903,582.550330,691.000000,583.030000
684.210051,449.720297,731.725993,484.381080,758.352429,546.276470,723.869927,485.534909,697.522523,467.011346,757.934903,582.550330,691.000000,583.640000
684.210051,449.684222,730.825669,485.381080,757.985870,546.509587,723.066608,487.012399,697.522523,467.397514,757.934903,582.050330,690.990000,583.540000
