File name,Appendage,Video OK?,Force OK?,Status,Use,Notes
af01f18,Pectoral,Yes,Yes,KEEP,No,"ML and Hz traces a little wavy, tho"
af01f18,Pelvic,No,Yes,KEEP,No,Hz convex (+) and ML a little wavy; slows down and even pauses
af01f19,Pectoral,Yes,Yes,KEEP,No,ML goes a little lateral
af01f19,Pelvic,No,No,EXCLUDE,No,peak net GRF at end of overlap with pectoral appendage; slows down
af01f20,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at start of overlap w/ pelvic
af01f21,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at start of overlap w/ pelvic
af01f21,Pelvic,No,No,EXCLUDE,No,turns and slows down; peak net GRF at end of overlap w/ pectoral appendage
af01f22,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at start of overlap
af01f23,Pectoral,Yes,No,EXCLUDE,No,no text file saved
af01f24,Pectoral,Yes,Yes,KEEP,No,Hz all neg
af01f25,Pectoral,Yes,Yes,KEEP,No,Hz - then +; ML goes a little lateral; net GRF plateaus a little bit
af01f25,Pelvic,No,Yes,EXCLUDE,No,Hz convex (+); slows down
af01f26,Pectoral,Yes,No,EXCLUDE,No,peak at start of overlap w/ pelvic
af01f27,Pectoral,Yes,No,EXCLUDE,No,peak at start of overlap w/ pelvic
af01f28,Pelvic,Yes,No,EXCLUDE,No,no text file saved
af01f29,Pectoral,Yes,Yes,KEEP,No,ML wavy and goes lateral a little; overlap probably doesn't exist (RH toe was barely on the edge); Hz goes pos then neg; slows 
af01f29,Pelvic,,No,EXCLUDE,No,DOUBLE CHECK; NO HL FOR THIS TRIAL; Has spike at very beginning; toe doesn't even really touch plate; GRF's are really low too
af01f30,Pectoral,Yes,No,EXCLUDE,No,peak net GRF immediately before start of overlap; Hz primarily -; could potentially use?
af01f30,Pelvic,No,Yes,TBD,No,Hz convex (+) and ML a little wavy; slows down quite a bit
af01f31,Pelvic,No,No,EXCLUDE,No,peak net GRF at 100% stance; slows down a bit
af01f32,Pectoral,Yes,Yes,KEEP,Yes,isolated; force trace pretty good; Hz goes pos then neg
af01f33,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at start of overlap w/ pelvic
af01f34,Pectoral,Yes,Yes,KEEP,Yes,isolated; ML goes lateral then medial; Hz primarily (+)
af01f35,Pectoral,Yes,Yes,KEEP,Yes,Hz convex (+)
af01f36,Pelvic,No,No,EXCLUDE,No,peak net GRF at 100% stance; really slows down towards end of stance
af01f37,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at start of overlap
af01f37,Pelvic,Yes,Yes,KEEP,Yes,Hz convex (+)
af01f38,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at start of overlap w/ pelvic; belly lightly taps plate
af01f39,Pectoral,Yes,Yes,KEEP,No,force trace not too bad; video gets cut off towards end
af01f40,Pectoral,Yes,Yes,KEEP,Yes,"Hz and ML a little wavy, but show general expected patterns"
af01f41,Pectoral,Yes,Yes,KEEP,Yes,Hz primarily (+)
af01f42,Pectoral,No,No,EXCLUDE,No,peak net GRF at start of overlap; very slow
af01f43,Pectoral,Yes,Yes,KEEP,Yes,isolated; Hz convex (+) and ML lateral and then medial; pretty slow
af01f44,Pelvic,Yes,Yes,KEEP,Yes,isolated; ML and Hz a little way; Hz primarily (+); pretty slow
af01f45,Pectoral,Yes,Yes,KEEP,Yes,Force trace looks pretty good; a little slow
af01f46,Pectoral,Yes,Yes,KEEP,Yes,force trace not too bad
af01f47,Pectoral,Yes,Yes,KEEP,No,"ML and Hz traces a little wavy, tho; a little diagonal"
af01f48,Pectoral,Yes,No,EXCLUDE,No,peak net GRF at start of overlap w/ pelvic
af01f48,Pelvic,Yes,No,EXCLUDE,No,peak net GRF occurs at end of overlap with pectoral appendage
af01f49,,No,No,EXCLUDE,No,too much overlap with other body structures
af01f50,Pectoral,Yes,Yes,KEEP,No,body bumps in raw trace (filtered trace looks fine)
af01f51,Pectoral,No,No,EXCLUDE,No,peak net GRF at start of overlap w/ pelvic; pauses a bit
af01f51,Pelvic,Yes,Yes,KEEP,Yes,"ML and Hz traces a little wavy, tho; Hz primarily (+); diagonal"
af01f52,Pectoral,Yes,Yes,KEEP,No,body bump doesn't appear to have an effect on force trace
