File name,Pectoral Start Frame,Pectoral End Frame,Pelvic Start Frame,Pelvic End Frame,Total Frames,Light Start,Appendages,Date Filmed,Calib_Video,Calib_Force,Body 1 Start,Body 1 End,Body 2 Start,Body 2 End,Body.Weight.kg,TL.cm,SVL.cm,Dist.LatCam.Calib.mm,Dist.DorCam.Mir.mm,Dist.Mir.Calib.mm,Dist.Calib.Glass.mm,Filming.Rate.Hz,Species,Notes,TrialsToUse
af01f18,35,148,127,244,361,276,Both,6/22/11,cal05,cal05,,,,,0.063,23,10.5,970,1905,780,180,100,Ambystoma_tigrinum,dragging body,none
af01f19,56,111,100,196,261,188,Both,6/22/11,cal05,cal05,,,,,0.063,23,10.5,970,1905,780,180,100,Ambystoma_tigrinum,dragging body,none
af01f20,47,122,109,242,331,261,Pectoral,6/22/11,cal05,cal05,,,,,0.063,23,10.5,970,1905,780,180,100,Ambystoma_tigrinum,dragging body,none
af01f21,32,101,92,185,241,169,Both,6/22/11,cal05,cal05,,,,,0.063,23,10.5,970,1905,780,180,100,Ambystoma_tigrinum,dragging body,none
af01f22,18,83,74,149,211,137,Pectoral,6/22/11,cal05,cal05,,,,,0.063,23,10.5,970,1905,780,180,100,Ambystoma_tigrinum,dragging body,none
af01f23,19,84,73,136,241,167,Pectoral,6/22/11,cal05,cal05,,,,,0.063,23,10.5,970,1905,780,180,100,Ambystoma_tigrinum,dragging body,none
af01f24,19,64,57,113,281,242,Pectoral,6/22/11,cal05,cal05,,,,,0.063,23,10.5,970,1905,780,180,100,Ambystoma_tigrinum,dragging body,none
af01f25,29,98,88,161,291,190,Both,6/22/11,cal05,cal05,,,,,0.063,23,10.5,970,1905,780,180,100,Ambystoma_tigrinum,dragging body,none
af01f26,20,81,71,128,221,164,Pectoral,6/23/11,cal07,cal06,,,,,0.061,23,10.5,950,1950,740,180,100,Ambystoma_tigrinum,dragging body,none
af01f27,33,87,79,144,221,159,Pectoral,6/23/11,cal07,cal06,,,,,0.061,23,10.5,950,1950,740,180,100,Ambystoma_tigrinum,dragging body,none
af01f28,,,69,142,241,186,Pelvic,6/23/11,cal07,cal06,,,,,0.061,23,10.5,950,1950,740,180,100,Ambystoma_tigrinum,dragging body,none
af01f29,24,75,62,146,211,146,Both,6/23/11,cal07,cal06,,,,,0.061,23,10.5,950,1950,740,180,100,Ambystoma_tigrinum,dragging body; slows to stop towards end and then continues,none
af01f30,18,63,54,124,201,148,Both,6/23/11,cal07,cal06,,,,,0.061,23,10.5,950,1950,740,180,100,Ambystoma_tigrinum,dragging body,none
af01f31,26,87,76,146,281,242,Pelvic,6/23/11,cal07,cal06,,,,,0.061,23,10.5,950,1950,740,180,100,Ambystoma_tigrinum,,none
af01f32,21,91,,,281,230,Pectoral,6/23/11,cal07,cal06,,,,,0.061,23,10.5,950,1950,740,180,100,Ambystoma_tigrinum,dragging body; slows down at end,pec
af01f33,25,90,80,140,201,153,Pectoral,6/23/11,cal07,cal06,,,,,0.061,23,10.5,950,1950,740,180,100,Ambystoma_tigrinum,taps body down,none
af01f34,13,74,,,281,193,Pectoral,6/23/11,cal07,cal06,,,,,0.061,23,10.5,950,1950,740,180,100,Ambystoma_tigrinum,dragging body,pec
af01f35,26,76,67,125,201,143,Pectoral,6/23/11,cal07,cal06,,,,,0.061,23,10.5,950,1950,740,180,100,Ambystoma_tigrinum,dragging body,pec
af01f36,26,84,72,174,231,192,Pelvic,6/23/11,cal07,cal06,,,,,0.061,23,10.5,950,1950,740,180,100,Ambystoma_tigrinum,dragging body; slows after HL step,none
af01f37,22,74,64,119,191,137,Both,6/23/11,cal07,cal06,,,,,0.061,23,10.5,950,1950,740,180,100,Ambystoma_tigrinum,drags body a little,pel
af01f38,15,54,47,88,181,125,Pectoral,6/23/11,cal07,cal06,35,41,,,0.061,23,10.5,950,1950,740,180,100,Ambystoma_tigrinum,taps body down,none
af01f39,17,79,67,135,221,176,Pectoral,6/24/11,cal08,cal07,,,,,0.063,23,10.5,950,1910,770,180,100,Ambystoma_tigrinum,a little diagonal; gets cut off at the end,none
af01f40,18,63,52,104,211,155,Pectoral,6/24/11,cal08,cal07,,,,,0.063,23,10.5,950,1910,770,180,100,Ambystoma_tigrinum,drags body a little,pec
af01f41,12,76,66,124,216,168,Pectoral,6/24/11,cal08,cal07,,,,,0.063,23,10.5,950,1910,770,180,100,Ambystoma_tigrinum,,pec
af01f42,28,144,118,288,321,236,Pectoral,6/24/11,cal08,cal07,,,,,0.063,23,10.5,950,1910,770,180,100,Ambystoma_tigrinum,drags body a little,none
af01f43,22,108,,,281,233,Pectoral,6/24/11,cal08,cal07,,,,,0.063,23,10.5,950,1910,770,180,100,Ambystoma_tigrinum,drags body a little; a little diagonal; gets cut off a little at end,pec
af01f44,,,102,198,301,248,Pelvic,6/24/11,cal08,cal07,,,,,0.063,23,10.5,950,1910,770,180,100,Ambystoma_tigrinum,drags body a little,pel
af01f45,26,75,62,118,261,181,Pectoral,6/24/11,cal08,cal07,,,,,0.063,23,10.5,950,1910,770,180,100,Ambystoma_tigrinum,drags body a little; a little diagonal,pec
af01f46,13,77,63,140,206,152,Pectoral,6/24/11,cal08,cal07,,,,,0.063,23,10.5,950,1910,770,180,100,Ambystoma_tigrinum,drags body a little,pec
af01f47,14,61,52,101,176,129,Pectoral,6/24/11,cal08,cal07,,,,,0.063,23,10.5,950,1910,770,180,100,Ambystoma_tigrinum,drags body a little; a little diagonal,none
af01f48,17,65,53,106,201,145,Both,6/24/11,cal08,cal07,,,,,0.063,23,10.5,950,1910,770,180,100,Ambystoma_tigrinum,,none
af01f49,12,62,51,105,241,,,6/24/11,cal08,cal07,,,,,0.063,23,10.5,950,1910,770,180,100,Ambystoma_tigrinum,EXCLUDE; too much overlap; drags body a little,none
af01f50,14,71,62,117,211,158,Pectoral,6/24/11,cal08,cal07,,,,,0.063,23,10.5,950,1910,770,180,100,Ambystoma_tigrinum,drags body a little,none
af01f51,41,89,77,139,371,299,Both,7/15/11,cal11,cal10,,,,,0.061,23,10.5,960,1930,710,190,100,Ambystoma_tigrinum,a little diagonal,pel
af01f52,20,57,51,93,311,248,Both,7/15/11,cal11,cal10,35,39,,,0.061,23,10.5,960,1930,710,190,100,Ambystoma_tigrinum,,pel
af01f53,36,79,70,121,321,245,Both,7/15/11,cal11,cal10,,,,,0.061,23,10.5,960,1930,710,190,100,Ambystoma_tigrinum,,pel
