"PercentStance","InterpV.N","InterpML.N","InterpHz.N"
0,0.0440672177554554,-0.0237119524645342,-0.016212693045377
1,0.0438003944113947,-0.023420356061804,-0.0150757376530865
2,0.0435824156869291,-0.0230902819185409,-0.0139849251050929
3,0.0434131564766184,-0.0227205017769986,-0.012946279238291
4,0.0432949847792049,-0.0223075787064443,-0.011968004271308
5,0.0432268599755589,-0.0218522600178859,-0.0110523671052872
6,0.0432051944211157,-0.0213589683632959,-0.0101976803009833
7,0.0432249869060004,-0.0208343175387309,-0.00939877087128885
8,0.0432839609168324,-0.0202800818495426,-0.00865464682091638
9,0.0433819278168937,-0.0196948988805717,-0.00796755939681325
10,0.043520233520224,-0.0190762507731683,-0.00734226083673195
11,0.0436963802234503,-0.0184263343055274,-0.00677882339255443
12,0.04390492633202,-0.0177514211626511,-0.00627310763633827
13,0.0441391090125062,-0.0170602105894768,-0.00581899372212232
14,0.044395865211377,-0.0163574350560454,-0.00541437600142391
15,0.0446754629773991,-0.015645208848203,-0.0050615020235941
16,0.0449802416440869,-0.0149243611102224,-0.00476488174685201
17,0.045308736577973,-0.0142001404728711,-0.00452423445399041
18,0.0456562213609616,-0.0134809720125748,-0.00433469974077183
19,0.0460154577105598,-0.0127767316827656,-0.00418804751138217
20,0.0463811666685748,-0.0120919765513934,-0.00407961592346224
21,0.046749870279651,-0.0114276370790662,-0.0040076806384713
22,0.0471194806799276,-0.0107830150088065,-0.00397324566755212
23,0.0474839070977292,-0.0101610298978389,-0.00397159185766837
24,0.0478345537741486,-0.00956692122336114,-0.00399307774699347
25,0.0481627243129472,-0.00900726088347515,-0.00402515598630549
26,0.0484645842702539,-0.00848326614706873,-0.00406069056239474
27,0.0487408230632333,-0.00799237029254571,-0.00409849415964546
28,0.0489960430249767,-0.00753043356099904,-0.00414206233835062
29,0.0492327021923153,-0.00709744182160442,-0.00419116471885793
30,0.0494515920439734,-0.00669628372006334,-0.00424135073588707
31,0.0496525431803672,-0.00633154976470075,-0.00428558327898648
32,0.0498379296617345,-0.00600327210630986,-0.00432055361406905
33,0.0500115826304892,-0.00570836656895344,-0.00434644269866245
34,0.0501771955714944,-0.00544230741409304,-0.00436598955367389
35,0.050332651851924,-0.00520465971449805,-0.00437676172922695
36,0.0504711054996469,-0.004997576928247,-0.00437177058136465
37,0.0505830870382012,-0.00482433243166766,-0.00434096555160222
38,0.0506634145347673,-0.00468357357933534,-0.00427957977287465
39,0.0507121561246569,-0.00457056456092661,-0.00418854063468064
40,0.0507335719316188,-0.00447832629299178,-0.00407330317158827
41,0.0507298152515646,-0.00440371783039678,-0.00393592812757917
42,0.050700125511392,-0.0043465066162449,-0.00377561794695094
43,0.050640259342667,-0.00430776890586778,-0.00358924561657387
44,0.0505469544144769,-0.00428385283348994,-0.00337849867643082
45,0.0504183858588273,-0.00426747895241749,-0.0031496021043003
46,0.0502545818618962,-0.00424963755994298,-0.00291183211077137
47,0.0500527323127972,-0.00422570276130341,-0.00267019390569881
48,0.0498085999168048,-0.0041948107933974,-0.00242583446211608
49,0.0495178830743216,-0.00415899823811362,-0.00217734252387361
50,0.0491810108075836,-0.00411680681998174,-0.00192786946964893
51,0.0488031347586624,-0.00406437393881397,-0.00168440368518617
52,0.0483936990036078,-0.00399671425013365,-0.00145705239478572
53,0.0479606085273603,-0.00391356103447763,-0.00125086036003914
54,0.0475105281657779,-0.00381867583304167,-0.00106614995193512
55,0.0470496397603047,-0.00371891150839768,-0.000899642619513779
56,0.0465877949529322,-0.00361790101848484,-0.000752101169276979
57,0.0461376496541277,-0.00351693605793985,-0.000627986043351528
58,0.045713414577631,-0.00341592620127684,-0.000534412144484661
59,0.045324247022423,-0.00331927411327177,-0.000472552910410268
60,0.0449742399943284,-0.00323530653263023,-0.000437901406882912
61,0.0446633045236702,-0.00317511084640027,-0.000421987084009771
62,0.0443928351262917,-0.00314567002711946,-0.000419774938255847
63,0.0441671671356946,-0.00315071066846213,-0.000429282919274087
64,0.0439948486682347,-0.00319165078549696,-0.000450055248740623
65,0.0438838738268807,-0.00327300508599559,-0.000475878630135103
66,0.0438416225301338,-0.00340233121056829,-0.000495341656199899
67,0.04387424329265,-0.00358930289371402,-0.000494161760610379
68,0.0439898655933311,-0.00383861275778509,-0.00046249638063353
69,0.0441976289285682,-0.00415018049950298,-0.000395132552948183
70,0.0445076007189493,-0.00452047052682946,-0.000290261103126317
71,0.0449250655225133,-0.00494823617665291,-0.000141649149793696
72,0.0454507390291033,-0.00543416859371727,6.04953362876592e-05
73,0.0460818033284433,-0.00598044099858006,0.000327708123038467
74,0.0468163583628012,-0.00658414958599547,0.000665388868927173
75,0.04765345606553,-0.00723753661739056,0.00107308937918395
76,0.0485928680222175,-0.00792873365476705,0.00154514784165756
77,0.0496293085958339,-0.00864786759558963,0.0020791323911366
78,0.0507525357992822,-0.00938730164143219,0.00267513488051421
79,0.051948102170963,-0.0101410328714455,0.00333474583198971
80,0.0532025640426977,-0.010898316641641,0.00405354720701716
81,0.0545043806309122,-0.011644822858088,0.00482124510424379
82,0.0558455341188556,-0.0123638933276167,0.00562320878461012
83,0.0572169660759362,-0.0130433319999499,0.00644821445380096
84,0.0586080837100596,-0.0136759163774248,0.00728894485327281
85,0.0600063022762192,-0.0142585062578658,0.0081410277030268
86,0.0614010569102318,-0.0147846982478196,0.00899593974779194
87,0.0627837886643512,-0.0152442228029664,0.00984145312481043
88,0.0641481469911401,-0.0156236294847357,0.0106630970494382
89,0.0654845323891863,-0.0159129548227061,0.0114529778391516
90,0.0667798695674559,-0.0161063527143436,0.0122081743556268
91,0.0680170362656175,-0.0162020580821873,0.0129300837692852
92,0.0691812032451848,-0.0161956586242456,0.0136170943436238
93,0.070262993873669,-0.0160805297848569,0.0142639203274123
94,0.0712577927490865,-0.0158495942066513,0.0148639125157707
95,0.072158888326104,-0.0155026625212014,0.0154165169965698
96,0.0729575181883962,-0.0150471404083724,0.0159270981164498
97,0.0736439238856885,-0.0144971677966444,0.0164043943465722
98,0.0742126583123428,-0.0138659702434631,0.0168532189774308
99,0.074663664415873,-0.0131653260988135,0.0172739628657212
100,0.0750019935954979,-0.0124057263432209,0.017663210836948
