"PercentStance","InterpV.N","InterpML.N","InterpHz.N"
0,0.124109420346261,0.0219551611574784,-0.00757098003841892
1,0.132100843098106,0.0192662630464787,-0.00912304664390965
2,0.140219568650844,0.0156684850243048,-0.0100882591169308
3,0.147880413677064,0.0109023629417159,-0.0102370534858343
4,0.155313889930371,0.00479169635804582,-0.00933164811926567
5,0.163529348588566,-0.0027221436689255,-0.00715174826571981
6,0.173910829706939,-0.0114761899990092,-0.00364522202270303
7,0.187700089900401,-0.0210816421701066,0.00103381269471175
8,0.20593698073158,-0.0309822544432142,0.00653479687250781
9,0.229348494924126,-0.0406629905871163,0.0125512811471189
10,0.258218302291664,-0.0496385193088956,0.0187436057543812
11,0.29231653499612,-0.057539695967662,0.0248212063878654
12,0.331072786342732,-0.0639956954339267,0.0304625677798578
13,0.373702938240577,-0.0687221243700736,0.0354691321061368
14,0.419321546652452,-0.0714788959362482,0.0397455316576233
15,0.466758700142694,-0.0721381805873059,0.0433481726426185
16,0.514614654576881,-0.0706437185941609,0.0464112122237968
17,0.561459261741302,-0.0669966746630273,0.0490475990036483
18,0.606142405803193,-0.0612725822196456,0.0512737233826891
19,0.648024760478252,-0.0536143993164954,0.0530020349622916
20,0.686838478452931,-0.044346777153873,0.0542023897638648
21,0.722537954513511,-0.0338866737426784,0.0548635495937594
22,0.755157307486321,-0.0227600017385156,0.055084416321594
23,0.784785164228256,-0.0114532841904461,0.0549655376326244
24,0.811459868949602,-0.000438968518811961,0.0546444469757567
25,0.835236789486626,0.00996999179533893,0.0541632496904593
26,0.85596201844924,0.0195126248872805,0.0536024647568318
27,0.873228224197742,0.0280268722717043,0.0530516009922244
28,0.886635207289324,0.0354703170855297,0.0526579692403054
29,0.896139426369438,0.0418601839650812,0.0526487795455295
30,0.901943816948684,0.0472761072002461,0.053160667478019
31,0.904343902229176,0.0518107641533148,0.0541857055198147
32,0.903716519793495,0.0555592525645416,0.0555965879874131
33,0.900228542081272,0.0584876561449589,0.0573290382766277
