"PercentStance","APAngle.Convert","MLAngle.Convert","InterpV.BW","InterpML.BW","InterpHz.BW","NetGRF.BW"
"0","-8.38388955648085","-14.920149120623","0.0543516464023748","-0.0144823238135243","-0.00801033765407616","0.0568155320226861"
"5","-8.54639833619603","-18.161121871343","0.105757984201579","-0.0346919541029799","-0.015893203359742","0.112431653972085"
"10","-8.5834163917426","-22.0591093327819","0.158392040362129","-0.064184697000283","-0.0239076526311242","0.172566768624283"
"15","-8.41006224539248","-26.102548929018","0.206116379776341","-0.100986742990913","-0.0304736072029233","0.231540331277243"
"20","-8.14549632543148","-28.0193637772801","0.254425201807183","-0.135390594762149","-0.0364162129516736","0.290497740146831"
"25","-8.5214330912305","-27.0562954642042","0.299435398660126","-0.152940730512861","-0.0448654406350604","0.339212813413547"
"30","-9.8119446380174","-23.5957126375342","0.33080470072951","-0.144495542622582","-0.0572109176376768","0.365491177676672"
"35","-11.2238129111989","-18.5525859523065","0.354363320017044","-0.118930064674437","-0.0703188918964726","0.380345197701398"
"40","-11.7299065528106","-14.1180637412834","0.381624945683444","-0.095985477504926","-0.0792384881460182","0.401409453131596"
"45","-10.9323792551405","-11.8075951334605","0.415832741426454","-0.0869295159352993","-0.080320502651086","0.432348230861546"
"50","-9.32521359534802","-11.3573605060886","0.450924687421274","-0.0905731967504954","-0.0740455193734311","0.465853320944328"
"55","-7.33764788163177","-11.855338826843","0.479064058708356","-0.100564689298275","-0.0616894971475371","0.493377363828234"
"60","-5.31927317692451","-12.4757216431397","0.490049827345563","-0.108423593421622","-0.045626814941714","0.503970549867349"
"65","-3.89510731111986","-12.4078602034477","0.475503537847733","-0.104614621258645","-0.0323757856943721","0.487950842796821"
"70","-3.50448481823496","-11.496585247016","0.43726126365295","-0.0889346709673796","-0.0267783993342798","0.447016633988442"
"75","-4.44186031061872","-10.5168553729112","0.383564388813386","-0.0712061775408732","-0.0297955785295753","0.391254056318501"
"80","NA","NA","NA","NA","NA","NA"
"85","NA","NA","NA","NA","NA","NA"
"90","NA","NA","NA","NA","NA","NA"
"95","NA","NA","NA","NA","NA","NA"
"100","NA","NA","NA","NA","NA","NA"
