"PercentStance","APAngle.Convert","MLAngle.Convert","InterpV.BW","InterpML.BW","InterpHz.BW","NetGRF.BW"
"0","NA","NA","NA","NA","NA","NA"
"5","NA","NA","NA","NA","NA","NA"
"10","NA","NA","NA","NA","NA","NA"
"15","NA","NA","NA","NA","NA","NA"
"20","NA","NA","NA","NA","NA","NA"
"25","8.9477895002628","-27.8177809436783","0.120816579767398","-0.0637472804912059","0.0190226273382077","0.137921071876508"
"30","25.7022362574047","-19.7112393568014","0.0923470912965315","-0.0330854846903961","0.0444480929018876","0.107695253055755"
"35","54.6085088310819","-1.31363305650348","0.034764758295166","-0.000797199020621296","0.0489341557497704","0.0600314546262422"
"40","68.6111033987056","37.9287609655264","-0.0129575365585633","0.0100976172413751","0.0330826065494477","0.0369366820887499"
"45","28.4374624407208","-24.7079888308095","-0.0166605975167082","-0.00766583330660576","0.00902243460369945","0.0204388071099182"
"50","-82.7214294642625","-87.0336378209296","-0.00156818076823915","-0.030262604839938","-0.0122779998556169","0.0326960811577572"
"55","-79.4259584375728","-83.8460359754158","0.00400081182226771","-0.0371057531435313","-0.021431846001367","0.0430368148753157"
"60","-89.269566173262","-89.3179739987155","-0.000381056913927471","-0.0320103949992983","-0.0298887720148489","0.043796681209178"
"65","-62.895336626172","-47.8459491440689","-0.021088952888387","-0.0232953906256988","-0.041203157538225","0.051818137263436"
"70","-42.1467988154562","-18.5353744511081","-0.051840404668178","-0.0173811536544518","-0.0469183701527939","0.0720476614215527"
"75","-34.188596333055","-12.2686090095032","-0.0776560841710443","-0.0168872013333421","-0.0527524289128085","0.095385867579291"
"80","-32.9791536736531","-7.90389615632319","-0.0983251499065552","-0.0136505570178474","-0.0638022495168784","0.118003812881017"
"85","-30.2437565706619","-1.21528737976612","-0.124468639149221","-0.0026404711876647","-0.0725697900862427","0.144103395702229"
"90","-27.5651490240079","4.25525076359027","-0.151819718175957","0.0112961440921865","-0.0792518825450326","0.171632428711214"
"95","-31.1358918340891","6.52997569457997","-0.160982883131598","0.0184270032742759","-0.0972486773509666","0.18897711067096"
"100","-42.4730380756665","8.0328214874338","-0.142420217464448","0.0200990588094289","-0.130380845287769","0.194130511063044"
