"PercentStance","APAngle.Convert","MLAngle.Convert","InterpV.BW","InterpML.BW","InterpHz.BW","NetGRF.BW"
"0","-31.6306531225702","-28.9916954632818","0.225310214643979","-0.124848803907903","-0.13877798579392","0.292593995155689"
"5","-24.6482986137304","-25.5292463725542","0.229685428548706","-0.109698279781374","-0.105392492824312","0.275493532080733"
"10","-18.8573424321292","-22.0217034229904","0.231873566560911","-0.0937851880193739","-0.0791952455195378","0.262360247130556"
"15","-14.8768435907602","-18.9178853023996","0.236094202322841","-0.0809154591641747","-0.062717646705485","0.257334970632601"
"20","-13.0329847967776","-16.5411054732441","0.245340318360073","-0.0728646112228025","-0.0567900642316992","0.262156889623585"
"25","-12.8325678965384","-14.9085357255649","0.258417427100774","-0.0688007862129136","-0.0588654898071121","0.273821585531766"
"30","-13.0465904645918","-13.5547658340815","0.273546392096875","-0.0659492800611338","-0.0633874968165852","0.288435280301269"
"35","-12.9815617114861","-12.3564013365522","0.288925406668467","-0.0632939262552701","-0.0666057587503679","0.303183671753706"
"40","-12.7172530190239","-11.7704086411041","0.302435660594178","-0.0630191038891945","-0.0682525214191555","0.3163813251981"
"45","-12.5124895811914","-12.2617046776371","0.311238949476809","-0.0676431819904352","-0.069071197047452","0.325908137368165"
"50","-12.5005977995968","-13.837866956164","0.313727492439691","-0.0772787514934748","-0.0695551447820864","0.330506978913523"
"55","-12.7665457843667","-16.1623461258311","0.308167265099597","-0.0893112920532143","-0.0698246875635666","0.32835812333568"
"60","-12.9998293330445","-18.5484769813509","0.297137130449936","-0.0997003205224267","-0.0685985795663968","0.320837019875862"
"65","-12.682589988304","-20.4341947754801","0.286843403395245","-0.106871017183872","-0.0645513716143319","0.312837708664691"
"70","-11.1371290050977","-21.670496808492","0.284619482121472","-0.113094115082604","-0.0560316861565522","0.311348804916542"
"75","-7.65101811531828","-22.785699335721","0.295732036967867","-0.124227454734118","-0.0397271282879495","0.32321531974968"
"80","-2.29036822113349","-24.2513228673011","0.3207388146286","-0.144491209036418","-0.0128281967151499","0.352016561157466"
"85","NA","NA","NA","NA","NA","NA"
"90","NA","NA","NA","NA","NA","NA"
"95","NA","NA","NA","NA","NA","NA"
"100","NA","NA","NA","NA","NA","NA"
