PercentStance,APAngle.Convert,MLAngle.Convert,InterpV.BW,InterpML.BW,InterpAP.BW,NetGRF.BW,Group,Species,Ind,Appendage,Trial,InterpV.N,InterpML.N,InterpAP.N,SquaredV.N,SquaredML.N,SquaredAP.N,NetGRF.N,APAngle,MLAngle
70,-1.829199377,-7.767859009,0.48436644,-0.066073158,-0.015468922,0.489096921,at_Pec,at,at01,Pec,at01f32,0.289554258,-0.039498534,-0.009247321,0.083841668,0.001560134,8.55E-05,0.292382139,91.82919938,97.76785901
68,4.562137849,-5.82075477,0.471526415,-0.048068481,0.03762452,0.47546119,at_Pec,at,at01,Pec,at01f34,0.281878491,-0.028735338,0.022491938,0.079455484,0.00082572,0.000505887,0.284230699,85.43786215,95.82075477
71,6.702120758,-6.668372663,0.42165594,-0.049297238,0.049549012,0.427409703,at_Pec,at,at01,Pec,at01f35,0.252065921,-0.029469889,0.029620399,0.063537229,0.000868474,0.000877368,0.25550552,83.29787924,96.66837266
67,-5.329703123,-4.251896493,0.510253784,-0.037935389,-0.047601626,0.513871514,at_Pec,at,at01,Pec,at01f40,0.315030686,-0.023421309,-0.029389244,0.099244333,0.000548558,0.000863728,0.317264273,95.32970312,94.25189649
74,4.60846429,-5.820509869,0.341835296,-0.034845995,0.027554242,0.344709805,at_Pec,at,at01,Pec,at01f41,0.211049112,-0.021513917,0.017011989,0.044541728,0.000462849,0.000289408,0.212823833,85.39153571,95.82050987
63,11.22755993,-4.360605689,0.370160679,-0.028226311,0.073478838,0.378437304,at_Pec,at,at01,Pec,at01f43,0.228537203,-0.017426924,0.045365835,0.052229253,0.000303698,0.002058059,0.233647191,78.77244007,94.36060569
55,-11.44908689,-5.299687895,0.520888049,-0.048318462,-0.105493937,0.533655324,at_Pec,at,at01,Pec,at01f45,0.321596282,-0.029831818,-0.065131957,0.103424168,0.000889937,0.004242172,0.329478797,101.4490869,95.2996879
72,-5.251685921,-1.450987827,0.510651771,-0.012934774,-0.046937459,0.512967508,at_Pec,at,at01,Pec,at01f46,0.315276403,-0.007985929,-0.028979187,0.099399211,6.38E-05,0.000839793,0.31670614,95.25168592,91.45098783
65,7.120362724,-1.113013929,0.481868477,-0.009361838,0.060193811,0.485703786,at_Pec,at,at01,Pec,at01f65,0.255004798,-0.004954285,0.031854565,0.065027447,2.45E-05,0.001014713,0.257034444,82.87963728,91.11301393
71,0.939181979,-2.790268621,0.544033285,-0.026515045,0.008918493,0.544752056,at_Pec,at,at01,Pec,at01f68,0.287902415,-0.014031762,0.004719667,0.0828878,0.00019689,2.23E-05,0.288282788,89.06081802,92.79026862
62,-1.809573455,-11.89146796,0.474483044,-0.099915469,-0.01499059,0.485120581,at_Pec,at,at04,Pec,at04f47,0.283645964,-0.059729467,-0.008961374,0.080455033,0.003567609,8.03E-05,0.290005083,91.80957345,101.891468
59,-6.604956622,-12.36730494,0.453966412,-0.099539451,-0.052565504,0.467714376,at_Pec,at,at04,Pec,at04f63,0.275829992,-0.06048017,-0.0319388,0.076082184,0.003657851,0.001020087,0.284183255,96.60495662,102.3673049
64,-3.131229611,-13.50218107,0.433533066,-0.104099535,-0.023716313,0.446486389,at_Pec,at,at04,Pec,at04f64,0.263414691,-0.063250877,-0.014410032,0.069387299,0.004000673,0.000207649,0.27128513,93.13122961,103.5021811
66,0.724593729,-9.583495176,0.498976633,-0.084247739,0.006310668,0.506078241,at_Pec,at,at04,Pec,at04f76,0.312958144,-0.052840182,0.003958051,0.0979428,0.002792085,1.57E-05,0.317412273,89.27540627,99.58349518
58,-6.491797515,-14.82886372,0.478450076,-0.12666985,-0.054443117,0.49791945,at_Pec,at,at04,Pec,at04f79,0.300083888,-0.07944733,-0.034146723,0.09005034,0.006311878,0.001165999,0.312295079,96.49179752,104.8288637
62,-1.840997587,-11.38564421,0.450652369,-0.090749959,-0.014485108,0.459927093,at_Pec,at,at04,Pec,at04f83,0.282649166,-0.056918374,-0.00908506,0.079890551,0.003239701,8.25E-05,0.288466273,91.84099759,101.3856442
60,-12.7491139,-11.18620732,0.454265981,-0.08983345,-0.102782512,0.474333084,at_Pec,at,at04,Pec,at04f85,0.284915623,-0.05634354,-0.064465192,0.081176912,0.003174594,0.004155761,0.29750171,102.7491139,101.1862073
60,-5.319273177,-12.47572164,0.490049827,-0.108423593,-0.045626815,0.50397055,at_Pec,at,at04,Pec,at04f89,0.307359252,-0.068003278,-0.028617138,0.09446971,0.004624446,0.000818941,0.316090329,95.31927318,102.4757216
61,-5.478555985,-12.01826329,0.452279494,-0.096285664,-0.043378725,0.464445243,at_Pec,at,at04,Pec,at04f96,0.283669699,-0.060390368,-0.027207136,0.080468498,0.003646997,0.000740228,0.291300056,95.47855598,102.0182633
62,0.773364963,-12.0725989,0.409615776,-0.087609137,0.005529233,0.41891648,at_Pec,at,at04,Pec,at04f98,0.256911015,-0.054948451,0.003467935,0.06600327,0.003019332,1.20E-05,0.262744416,89.22663504,102.0725989
60,2.005031707,-10.56698001,0.426362504,-0.079537279,0.014926396,0.433974609,at_Pec,at,at05,Pec,at05f29,0.27994962,-0.052224178,0.009800671,0.07837179,0.002727365,9.61E-05,0.284947728,87.99496829,100.56698
60,7.777123748,-13.4492261,0.417722762,-0.099894935,0.057050998,0.433273725,at_Pec,at,at05,Pec,at05f44,0.278370449,-0.066569985,0.038018785,0.077490107,0.004431563,0.001445428,0.28873361,82.22287625,103.4492261
58,-0.425125572,-6.974112085,0.451152655,-0.055187675,-0.003347542,0.454527891,at_Pec,at,at05,Pec,at05f55,0.318333314,-0.038940423,-0.002362026,0.101336099,0.001516357,5.58E-06,0.32071488,90.42512557,96.97411209
66,4.558275227,-8.600230522,0.429081856,-0.064894295,0.03420863,0.435307638,at_Pec,at,at05,Pec,at05f59,0.302760158,-0.045789415,0.024137609,0.091663713,0.002096671,0.000582624,0.307153069,85.44172477,98.60023052
73,18.98650617,-20.44324045,0.335743616,-0.125150439,0.115517359,0.376471338,at_Pec,at,at05,Pec,at05f61,0.236900696,-0.08830615,0.081509048,0.05612194,0.007797976,0.006643725,0.265638176,71.01349383,110.4432404
65,-0.872494692,-10.52961193,0.460168124,-0.08553314,-0.007007938,0.468102266,at_Pec,at,at05,Pec,at05f62,0.324694628,-0.060352184,-0.004944801,0.105426602,0.003642386,2.45E-05,0.330292959,90.87249469,100.5296119
66,-8.806449049,-8.429881973,0.486101447,-0.072040285,-0.075308506,0.497147654,at_Pec,at,at05,Pec,at05f64,0.342993181,-0.050831625,-0.053137682,0.117644322,0.002583854,0.002823613,0.350787385,98.80644905,98.42988197
