"PercentStance","InterpV_N","InterpML_N","InterpAP_N","GRF_Vert_Sq","NetGRF_N","MLAngle_deg","MLAngle_Convert_deg","APAngle_deg","APAngle_Convert_deg","InterpV_BW","InterpML_BW","InterpAP_BW","NetGRF_BW"
0,0.0184534954804467,0.00394309780900204,-0.000781615015995707,0.000340531495446867,0.0188862499668794,77.9385622121724,12.0614377878276,92.425366495248,-2.42536649524804,0.0298890435381385,0.00638661776644322,-0.00126597832198851,0.0305899740312268
1,0.018458306032384,0.00370860730243774,-0.000634144809797108,0.000340709061585145,0.018837859999178,78.6394978314298,11.3605021685702,91.9676527353152,-1.96765273531516,0.0298968351674506,0.00600681454881396,-0.00102712149303062,0.0305115970184289
2,0.0186194948852538,0.00318318446933622,-0.000137992436077211,0.000346685589781992,0.018890137507711,80.2985172779513,9.70148272204874,90.4246215856639,-0.424621585663886,0.0301579120266501,0.00515578955188892,-0.000223505727368337,0.0305962706636071
3,0.019004399759316,0.0025557254121434,0.000802190477971194,0.000361167210211889,0.0191922497940474,82.340774110889,7.65922588911103,87.5829354880403,2.41706451195974,0.0307813407180369,0.00413949694224717,0.00129930430510397,0.031085600573449
4,0.0197240332627739,0.00198076145915975,0.00222341584152033,0.000389037488151011,0.0199475432600966,84.2653689606473,5.73463103935272,83.5684137645053,6.43158623549468,0.0319469278632554,0.0032082304165205,0.00360125662701705,0.0323089459995086
5,0.0208197285696806,0.00154540959991571,0.00416723057611858,0.000433461097715174,0.0212888515242421,85.7548264921911,4.24517350780893,78.6813755562972,11.3186244437028,0.0337216206182063,0.00250309297038502,0.00674964460012727,0.0344814569553645
6,0.02237542038708,0.00129348707288667,0.00661456291671401,0.000500659437498554,0.0233684614145957,86.6915052932159,3.30849470678407,73.5314054255999,16.4685945744001,0.0362413676499514,0.00209505518770112,0.0107135777724555,0.0378497917307996
7,0.0243032293620171,0.00120962603220809,0.00954751549013729,0.000590646957422809,0.0261393420842036,87.1506123767215,2.84938762327849,68.5526348863432,21.4473651136568,0.0393638311662084,0.00195922583771961,0.0154640678492667,0.0423377746747709
8,0.026543893427111,0.00135062410212734,0.0129444193934181,0.000704578278269825,0.0295628222124981,87.0871500054734,2.91284999452658,64.0033174609151,25.9966825390849,0.0429930246632831,0.00218759977668827,0.0209660178059898,0.0478827700234825
9,0.028961900557883,0.00170909244000417,0.0167155579033261,0.000838791683924706,0.033483168262765,86.6227923876242,3.37720761237583,60.0083143402601,29.9916856597399,0.0469094599253046,0.00276820932945281,0.0270741138699807,0.054232536868748
10,0.0315706521722788,0.00234741109495558,0.020746527945795,0.000996706078583012,0.0378501630014639,85.7476421638709,4.25235783612909,56.6892432179435,33.3107567820565,0.051134843168576,0.00380209118068607,0.0336030578973032,0.0613057385835178
11,0.0343031191306701,0.00328666916485605,0.0248763039662826,0.00117670398209294,0.042501019697356,84.5270520137986,5.4729479862014,54.050725836987,35.949274163013,0.0555606075974572,0.00532340324725631,0.0402920375223236,0.0688387102321931
12,0.0371366696050639,0.00455100037588577,0.0288919163524445,0.00137913222935567,0.047271414875098,83.0133898189247,6.98661018107535,52.1174804930036,37.8825195069964,0.0601500965420535,0.0073712348167894,0.0467961068228774,0.0765652978216683
13,0.0399968597657206,0.00609107673892548,0.0325632592527527,0.00159974879111872,0.0519347269187023,81.3410206162143,8.65897938378572,50.8494004373627,39.1505995626373,0.064782733666538,0.00986568956742059,0.0527425643873546,0.0841184433409496
14,0.043077592913785,0.00785646291614699,0.0356933431382457,0.00185567901124578,0.0564926346100367,79.6640335383474,10.3359664616526,50.3554461536998,39.6445538463002,0.069772583274676,0.0127250776095675,0.0578123471626914,0.0915008659054693
15,0.0465170140961797,0.00975297234044669,0.0381303989294939,0.00216383260042418,0.060933409492823,78.1586260493098,11.8413739506902,50.6582302628044,39.3417697371956,0.075343398276935,0.0157968453845913,0.0617596354543147,0.0986935689874036
16,0.0504761007017936,0.0117331220673389,0.0398082716175282,0.00254783674205761,0.0653467779211767,76.9140363088824,13.0859636911176,51.738715355347,38.261284644653,0.0817559130252569,0.0190040849811126,0.0644772782920768,0.105841881958498
17,0.0549690884643211,0.0136474613229505,0.040685623224927,0.00302160068659836,0.0697364597922816,76.0568049180601,13.9431950819399,53.4928359578172,36.5071640421828,0.0890331850734064,0.0221047316536289,0.0658983207400827,0.112951829919471
18,0.0600706975718366,0.0153627748381203,0.0408128550210256,0.00360848870676706,0.0742306721811213,75.6543812164277,14.3456187835723,55.8072748627325,34.1927251372675,0.0972962383735611,0.0248830172305156,0.06610439750733,0.120231085489344
19,0.0657106317348001,0.0166749052178065,0.0402447718918721,0.00431788712298652,0.0788389577026369,75.76103333658,14.23896666342,58.514426562605,31.485573437395,0.10643121434208,0.0270082688982936,0.0651842758209785,0.12769510479857
20,0.0718889836625314,0.0174169835106929,0.0390844406079429,0.0051680259720317,0.0836598516869309,76.3810215151092,13.6189784848908,61.4680586495778,28.5319413504222,0.116438263139831,0.0282102097678862,0.0633048924650841,0.135503485077633
21,0.0785048722792409,0.0174390853293063,0.0374115780586031,0.00616301497157993,0.0886947734736253,77.4756726193074,12.5243273806926,64.5198174202207,25.4801825797793,0.127153988142599,0.0282460079839753,0.060595364526406,0.143658525224531
22,0.0855601171942714,0.016694841032917,0.0353602931888331,0.00732053365429745,0.0940723216775904,78.958941109765,11.041058890235,67.5456663890922,22.4543336109078,0.138581336563446,0.0270405588482621,0.0572729076592696,0.152368515836719
