"PercentStance","InterpV_N","InterpML_N","InterpAP_N","GRF_Vert_Sq","NetGRF_N","MLAngle_deg","MLAngle_Convert_deg","APAngle_deg","APAngle_Convert_deg","InterpV_BW","InterpML_BW","InterpAP_BW","NetGRF_BW"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.296966059775425,-0.0392310780223477,0.0767549270536954,0.0881888406585413,0.309223603511043,97.5255547048303,-7.52555470483028,75.508268030245,14.491731969755,0.445627340599377,-0.0588701650995613,0.115178461965329,0.464021013672034
13,0.296329528990113,-0.0351109351077418,0.082207279991556,0.0878111897515025,0.309518988753925,96.7572503400318,-6.75725034003183,74.4950037103757,15.5049962896243,0.44467216235011,-0.0526874776526737,0.123360264092971,0.464464268838423
14,0.296197352608319,-0.0312588562055389,0.0872761775138107,0.0877328716921769,0.310366104697143,96.0243468375401,-6.02434683754012,73.5821009230647,16.4178990769353,0.444473818439855,-0.0469070471271592,0.130966652931889,0.465735451226204
15,0.296468758730329,-0.0277549306235935,0.0918791026240914,0.0878937249031018,0.311618084481679,95.3483504782405,-5.3483504782405,72.781185641196,17.218814358804,0.444881090531706,-0.0416490555576132,0.13787380345752,0.467614172391475
16,0.297005775203806,-0.0246518843815317,0.0959636678692942,0.0882124305044137,0.313096105786869,94.7447518915668,-4.74475189156676,72.0941627825504,17.9058372174496,0.445686937580741,-0.0369926236217463,0.144003103045159,0.46983209151691
17,0.297689254432009,-0.0219604953780731,0.0995207499958671,0.0886188922042855,0.314651450403897,94.2190594900708,-4.21905949007079,71.5146587462751,18.4853412537249,0.446712566674684,-0.0329539246369645,0.149340861338336,0.472166042022654
18,0.298394082631245,-0.0196862682790259,0.102539444603294,0.0890390285493421,0.316134331270186,93.7745650168008,-3.77456501680076,71.0353487478813,18.9646512521187,0.447770232039683,-0.0295412189061012,0.153870715191017,0.474391253406642
19,0.299012779224219,-0.0178322719479169,0.10500069623039,0.0894086421393914,0.317414206158267,93.4129150934146,-3.41291509341461,70.6508730094223,19.3491269905777,0.448698648295646,-0.0267591115665019,0.157564069973575,0.476311833970988
20,0.299499273931359,-0.0163779253083892,0.106911192357443,0.0896998150854114,0.318430611867183,93.1300653359682,-3.13006533596821,70.3551404981611,19.6448595018389,0.449428682369987,-0.0245767186500439,0.160430960920533,0.477837052621824
21,0.299824077079413,-0.0153093497761865,0.108278926458798,0.0898944771965218,0.319144448960281,92.9230474278617,-2.9230474278617,70.1432437369444,19.8567562630556,0.44991608205194,-0.0229732139498597,0.162483383041414,0.478908236735115
22,0.29994912041382,-0.0146238512864035,0.109089274143255,0.0899694748370242,0.319505558005762,92.7912134568447,-2.79121345684474,70.0140479515911,19.9859520484089,0.450103722109574,-0.0219445547515059,0.16369939097127,0.479450117055465
23,0.299867407110981,-0.0142942971982766,0.109349993527566,0.0899204618474628,0.319503067065614,92.7291508961383,-2.72915089613825,69.9650519560384,20.0349480439616,0.449981103107714,-0.021450025807738,0.164090626541966,0.479446379150081
24,0.299590767952055,-0.0142846418703112,0.10910175408521,0.0897546282421018,0.31915806738971,92.7298247924046,-2.72982479240464,69.9899302640723,20.0100697359277,0.44956597831941,-0.0214355370202749,0.163718118375165,0.478928672553586
25,0.299131683435483,-0.0145748472288806,0.108375418674598,0.0894797640349459,0.318492419971944,92.789464944518,-2.78946494451803,70.0845465788892,19.9154534211108,0.448877075983618,-0.0218710192510214,0.16262817928361,0.477929801878668
