"PercentStance","InterpV_N","InterpML_N","InterpAP_N","GRF_Vert_Sq","NetGRF_N","MLAngle_deg","MLAngle_Convert_deg","APAngle_deg","APAngle_Convert_deg","InterpV_BW","InterpML_BW","InterpAP_BW","NetGRF_BW"
0,0.0854711321801982,-0.0300868879620218,0.0145170376326071,0.0073053144361649,0.0917675304507574,109.392694443516,-19.3926944435157,80.3604604307557,9.63953956924429,0.121132556944725,-0.0426401473384662,0.0205740329260304,0.130056023881459
1,0.0856371215258285,-0.0300978046563764,0.0149522304944128,0.00733371658322952,0.0919954543720556,109.36440520024,-19.3644052002403,80.0960003898638,9.90399961013621,0.12136780261597,-0.0426556188440709,0.0211908028548934,0.13037904531187
2,0.0861138153031938,-0.0301290351252401,0.0161949829133932,0.00741558918607257,0.0926586499751406,109.283644251572,-19.2836442515715,79.3490828002189,10.6509171997811,0.122043389035139,-0.0426998797126418,0.0229520732899564,0.131318948377467
3,0.0868847055662297,-0.0301756406791814,0.0181727986451807,0.00754895206133042,0.0937537837227265,109.15245697918,-19.1524569791801,78.1863283207041,11.8136716792959,0.12313592058706,-0.0427659306677741,0.0257551001207209,0.132871008677333
4,0.0879456192969361,-0.0302182156644651,0.0207797611721893,0.00773443195352162,0.095285733380391,108.962780091829,-18.962780091829,76.7059865719279,13.2940134280721,0.124639483130578,-0.0428262693657385,0.0294497749038963,0.135042139144545
5,0.0892979273219791,-0.0302376337295175,0.0238939717988733,0.00797411982400146,0.0972592217010154,108.706880654581,-18.706880654581,75.0199580943753,14.9800419056247,0.126556019447249,-0.0428537892992028,0.0338633387172241,0.137839033022981
6,0.090927361387683,-0.030231566312999,0.0273680891625578,0.0082677850489263,0.0996531231576475,108.390955511993,-18.3909555119929,73.2488100235645,16.7511899764355,0.12886530808912,-0.0428451903528897,0.0387869744367316,0.14123175050687
7,0.0928138925660171,-0.0302020339140905,0.0310299491500714,0.00861441865325616,0.10241796351256,108.025107526928,-18.0251075269281,71.5139607227737,18.4860392772263,0.131538963387212,-0.0428033360460466,0.0439766853033892,0.145150175046145
8,0.0949431654644402,-0.0301389398505224,0.0347090681055336,0.00901420466840807,0.105485922153034,107.611619762537,-17.6116197625373,69.9187339575583,20.0812660424417,0.134556640397449,-0.0427139170217155,0.049190856158636,0.149498188992396
9,0.097297299837219,-0.0300331165181278,0.0382598269592433,0.0094667645556137,0.108777603404177,107.154080773406,-17.1540807734058,68.5339582031122,21.4660417968878,0.137892998635514,-0.0425639406436052,0.0542231107699026,0.154163270130636
10,0.0998474822818053,-0.0298836885330204,0.0415536343510081,0.00996951971801542,0.112201867569712,106.662092566367,-16.6620925663666,67.404333975972,22.595666024028,0.141507202780336,-0.0423521662882942,0.0588912051459866,0.159016252224649
11,0.102576355856746,-0.0296846476139697,0.0444802760810132,0.0105219087808498,0.115678788224369,106.139953808653,-16.1399538086532,66.5569554614774,23.4430445385226,0.145374653991987,-0.0420700788179843,0.0630389400241116,0.163943860862201
12,0.105496418226529,-0.0294255345108689,0.0469538770696338,0.0111294942586267,0.119163849013647,105.585088211549,-15.5850882115491,66.0073225790205,23.9926774209795,0.149513064380001,-0.0417028550324105,0.0665446103594583,0.168883005971722
13,0.108627911602659,-0.029108718433104,0.0488992336677443,0.0118000231791551,0.12263146301527,105.000963189422,-15.0009631894215,65.7649416655778,24.2350583344222,0.153951121885855,-0.0412538526546258,0.0693016350166444,0.173797424908262
14,0.111982961371608,-0.0287532421556476,0.0502629135110073,0.0125401836375551,0.126068604524011,104.400434196354,-14.4004341963537,65.8273445497301,24.1726554502699,0.158706011014184,-0.0407500597443985,0.071234287855736,0.178668657205231
15,0.11557868875003,-0.0283727780702252,0.0510096946390005,0.0133584332931763,0.129481414789006,103.792486308019,-13.792486308019,66.1861325637191,23.8138674362809,0.16380199652782,-0.0402108532741287,0.0722926511323703,0.183505406447004
16,0.119439696116401,-0.0279736202353734,0.0511314352260355,0.0142658410083782,0.132901422512046,103.181489234835,-13.1814892348349,66.8245161571137,23.1754838428863,0.169273945743199,-0.0396451533948035,0.0724651859779414,0.188352356167866
17,0.123571924890582,-0.0275725059471452,0.0506376234825651,0.0152700206211636,0.136361404427099,102.57831925917,-12.5783192591698,67.7170356831418,22.2829643168582,0.17513027903994,-0.0390766807640946,0.0717653394027283,0.193255958655186
18,0.127964217026235,-0.0271940999905278,0.0495458703260259,0.0163748408391374,0.139889789405073,101.997629250628,-11.9976292506284,68.8343265890672,21.1656734109328,0.181355182860311,-0.0385403911430383,0.070218070189946,0.19825650425889
19,0.132612609648332,-0.0268515326606697,0.0478900416714391,0.0175861042377409,0.143528969672537,101.446550043044,-11.4465500430442,70.1439620222534,19.8560379777466,0.187943040884824,-0.0380548932265727,0.0678713742509057,0.20341407266516
20,0.137520296128477,-0.0265499643919815,0.0457275303564338,0.018911831847264,0.147335465821974,100.927206971293,-10.9272069712927,71.607271469622,18.392728530378,0.194898378866889,-0.0376275005555294,0.0648065906412044,0.208808766754498
21,0.142676337256306,-0.0263024019611115,0.0431236816406136,0.0203565372128751,0.151353908043499,100.445211593122,-10.4452115931222,73.1826468129387,16.8173531870613,0.202205693390456,-0.0372766467702828,0.0611163288557449,0.214503837930129
22,0.148059585818864,-0.0261207009738323,0.0401445083028425,0.0219216409528537,0.155613346211355,100.005179648036,-10.0051796480364,74.8296958408098,15.1703041591902,0.209835013915624,-0.037019134033209,0.0568941444201282,0.220540456648746
23,0.153658067461493,-0.0259994883321601,0.0368690934083729,0.0236108016960008,0.160144013744786,99.6036872355416,-9.60368723554163,76.5073844630609,13.4926155369391,0.21776936998511,-0.0368473474095239,0.052252116508465,0.226961470726738
24,0.159453060319518,-0.0259286805613221,0.0333903978929873,0.02542527844526,0.164962097441694,99.2360329770799,-9.23603297707987,78.1728311795386,11.8271688204614,0.225982228343989,-0.0367469962603771,0.0473219924787234,0.233789820637322
