"PercentStance","InterpV_N","InterpML_N","InterpAP_N","GRF_Vert_Sq","NetGRF_N","MLAngle_deg","MLAngle_Convert_deg","APAngle_deg","APAngle_Convert_deg","InterpV_BW","InterpML_BW","InterpAP_BW","NetGRF_BW"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,0.0776906736574302,-0.0481496880651588,0.0266367723633123,0.00603584077334532,0.0952037335195019,121.789040835744,-31.7890408357436,71.0753754034484,18.9246245965516,0.317104790438491,-0.196529339041464,0.108721519850254,0.388586667426538
29,0.0772968196777475,-0.048297019355272,0.0259566350389567,0.00597479833229422,0.0947689153332638,121.998190511484,-31.9981905114836,71.4377070120678,18.5622929879322,0.31549722317448,-0.197130691246008,0.105945449138599,0.386811899319444
30,0.0767702352820606,-0.0481768595209407,0.0252106851479661,0.00589366902526294,0.0940758070079299,122.1101650301,-32.1101650300997,71.820264525381,18.179735474619,0.313347899110451,-0.196640242942615,0.102900755705984,0.383982885746653
31,0.0761479323506569,-0.047787855088438,0.0243830550327465,0.00579850760128022,0.0931489134019485,122.110985206081,-32.1109852060812,72.2446018236383,17.7553981763617,0.310807887145538,-0.195052469748726,0.0995226736030468,0.380199646538565
32,0.0754618689483454,-0.0471514399745004,0.0234652673395122,0.00569449366517726,0.0920237508916092,121.998706286134,-31.9987062861339,72.7266420088074,17.2733579911926,0.308007628360593,-0.192454857038777,0.0957766013857639,0.375607146496364
33,0.0747486917851751,-0.0463050898561735,0.0224506476124325,0.00558736692359511,0.0907499853906381,121.777259459838,-31.777259459838,73.2824455635282,16.7175544364718,0.30509670116398,-0.189000366759892,0.0916352963772757,0.370408103635258
34,0.0740634589423093,-0.0452774612934818,0.0213258370398822,0.00548539595049913,0.0893881187694063,121.438835060438,-31.4388350604376,73.9367706234264,16.0632293765736,0.302299832417589,-0.184805964463191,0.0870442328158458,0.364849464364924
35,0.0734604408461197,-0.0441001522477343,0.0200790429780715,0.00539643636930625,0.0880024304465214,120.977454083833,-30.9774540838334,74.7126702169803,15.2873297830197,0.299838534065795,-0.180000621419324,0.0819552774615162,0.359193593659271
