PercentStance,InterpV_N,InterpML_N,InterpAP_N,GRF_Vert_Sq,NetGRF_N,MLAngle_deg,MLAngle_Convert_deg,APAngle_deg,APAngle_Convert_deg,InterpV_BW,InterpML_BW,InterpAP_BW,NetGRF_BW,filename
23,0.15272745,-0.002089836,0.056662327,0.023325674,0.162913046,90.78395412,-0.78395412,69.64500013,20.35499987,0.255482519,-0.003495878,0.094784756,0.272520988,af01f37
18,0.188974399,-0.06142848,0.088738237,0.035711323,0.217621819,108.0073976,-18.00739761,64.84627862,25.15372138,0.316116425,-0.102757578,0.148441347,0.364037838,af01f44
27,0.216209363,-0.00779434,0.061498598,0.046746489,0.224920693,92.06461684,-2.064616844,74.12212594,15.87787406,0.361675081,-0.013038375,0.102874872,0.376247395,af01f51
26,0.266387395,-0.022217116,0.04780478,0.070962244,0.271553202,94.767522,-4.767521996,79.82622749,10.17377251,0.431466464,-0.035984962,0.077429187,0.439833499,af01f52
33,0.275882188,-0.002244152,0.022948304,0.076110982,0.276844076,90.46605973,-0.466059728,85.24499588,4.755004124,0.446845137,-0.003634842,0.037169264,0.448403103,af01f53
100,-0.160475987,0.008009944,0.022849188,0.025752542,0.162292289,87.14252923,2.857470772,81.89647493,8.103525068,-0.259922233,0.012973671,0.037008727,0.262864089,af01f56
100,-0.166997556,0.002574066,0.024180502,0.027888184,0.168758721,89.11692466,0.883075339,81.76108647,8.238913528,-0.270485189,0.004169203,0.039165049,0.273337741,af01f58
55,0.28871399,-0.054174824,0.106867916,0.083355768,0.312588278,100.6275059,-10.62750589,69.6878917,20.3121083,0.46762875,-0.087746719,0.173093482,0.506297826,af04f34
31,0.15754136,-0.023874596,0.113064241,0.02481928,0.195378604,98.6173167,-8.617316704,54.33376269,35.66623731,0.297697203,-0.045114505,0.21365125,0.369196153,af04f37
24,0.267329131,-0.025834445,0.103213244,0.071464864,0.287724272,95.5198712,-5.519871204,68.88889775,21.11110225,0.505157088,-0.048817923,0.195036365,0.543696659,af04f62
27,0.302940182,-0.021930025,0.144619192,0.091772754,0.336405099,94.14045408,-4.140454084,64.48087608,25.51912392,0.506758417,-0.036684552,0.241919024,0.562738539,af04f69
29,0.287951463,-0.06008621,0.105898349,0.082916045,0.312635343,101.7866564,-11.7866564,69.80826553,20.19173447,0.473916167,-0.098891064,0.17428958,0.514541381,af04f74
43,0.316913084,-0.038808313,0.077322071,0.100433903,0.328509803,96.98152571,-6.981525713,76.28856875,13.71143125,0.521581771,-0.063871483,0.127258182,0.540667878,af04f86
41,0.322020261,-0.038532282,0.054643327,0.103697048,0.32888855,96.82345245,-6.82345245,80.36926866,9.630731344,0.51342516,-0.061435399,0.087122652,0.524375877,af04f87
28,0.297704099,-0.034918302,0.125309929,0.088627731,0.324883974,96.68976904,-6.689769041,67.17274873,22.82725127,0.47465577,-0.055673314,0.199792616,0.51799103,af04f92
26,0.157070425,-0.005212549,0.135985276,0.024671119,0.207822724,91.90072385,-1.900723845,49.11529915,40.88470085,0.250431163,-0.008310825,0.216813259,0.331350006,af04f95
29,0.179299697,0.008763626,0.133907289,0.032148381,0.223956122,87.20178274,2.798217261,53.2463372,36.7536628,0.285873242,0.013972618,0.213500142,0.357072899,af04f99
100,-0.223276243,0.020426251,0.007330366,0.049852281,0.224328435,84.77289103,5.227108967,88.11960193,1.880398069,-0.355988908,0.032567364,0.011687445,0.35766651,af05f32
