"PercentStance","InterpV_N","InterpML_N","InterpAP_N","GRF_Vert_Sq","NetGRF_N","MLAngle_deg","MLAngle_Convert_deg","APAngle_deg","APAngle_Convert_deg","InterpV_BW","InterpML_BW","InterpAP_BW","NetGRF_BW"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.0603985336764531,-0.0354587020079185,0.012724245603052,0.00364798287026564,0.0711843300489567,120.416294152492,-30.4162941524915,78.1033804982735,11.8966195017265,0.29348169910813,-0.172296899941295,0.0618282099273665,0.345890816564415
19,0.0603702086553078,-0.0348491907361182,0.0145301906920112,0.0036445620930854,0.0712050182894012,119.996038302219,-29.9960383022192,76.467174065927,13.532825934073,0.293344065380504,-0.169335231953927,0.0706034533139514,0.345991342514097
20,0.060102515194571,-0.0339687078799891,0.0163476394439531,0.00361231233271364,0.0709466754903932,119.474242450192,-29.4742424501915,74.7838904815727,15.2161095184273,0.292043319701511,-0.165056889601502,0.0794345939939413,0.344736032509199
21,0.0595283886825736,-0.0327989008586801,0.018103454881026,0.00354362905914356,0.0703358517067251,118.853847741215,-28.8538477412148,73.0847153233857,16.9152846766143,0.289253589322515,-0.159372696106317,0.0879662530662098,0.341767986913144
22,0.0586546752977231,-0.031298108109261,0.0196837484016826,0.00344037093428132,0.0693353622377575,118.084360688658,-28.0843606886583,71.4489151722825,18.5510848277175,0.285008140416536,-0.152080214330714,0.0956450359654158,0.336906522049356
23,0.0574746486946756,-0.0295269015852497,0.0210694877317495,0.00330333524257638,0.0679639350911919,117.191280856514,-27.1912808565136,69.8676950737734,20.1323049262266,0.279274289089775,-0.14347376863581,0.102378463225216,0.330242638927074
24,0.0560679305730214,-0.0275152091102924,0.0221739409268913,0.00314361283874114,0.0662750573545849,116.139390383871,-26.1393903838713,68.4220208854064,21.5779791145936,0.272438924067159,-0.133698780905211,0.107745096826488,0.322036235930928
25,0.0544880035592946,-0.0253859652438712,0.022994724267225,0.0029689425318777,0.0643595145053663,114.980815423241,-24.9808154232407,67.1195529532593,22.8804470467407,0.264761922056825,-0.123352600796265,0.111733354068149,0.312728447547941
26,0.0528233163079509,-0.0232162305898874,0.0234687127198219,0.00279030274576983,0.0622902607579884,113.725837061034,-23.7258370610344,66.0450443953799,23.9549556046201,0.25667306272085,-0.112809672448433,0.114036504955403,0.302673764616076
27,0.0511054994788498,-0.0211272229464225,0.0236033548223112,0.00261177207698272,0.0601269489104385,112.460401843204,-22.4604018432038,65.2098873187995,24.7901126812005,0.248326042171282,-0.102659003626932,0.114690742576828,0.292162045240226
28,0.0494128805730435,-0.0192115130315948,0.0233876116693694,0.00244163276652586,0.0579456243308001,111.245864966736,-21.2458649667363,64.6713369978593,25.3286630021407,0.240101460510415,-0.0933504034577005,0.113642427936683,0.281562800441206
