"PercentStance","InterpV_N","InterpML_N","InterpAP_N","GRF_Vert_Sq","NetGRF_N","MLAngle_deg","MLAngle_Convert_deg","APAngle_deg","APAngle_Convert_deg","InterpV_BW","InterpML_BW","InterpAP_BW","NetGRF_BW"
0,0.323860470302755,-0.073386653900444,-0.047902492248068,0.104885604224722,0.335508351548813,102.767587800696,-12.7675878006958,98.4136669432196,-8.41366694321955,0.516359168212301,-0.117006782366779,-0.0763751470791901,0.534930407443897
1,0.323697791826245,-0.0733859600283861,-0.0472629289148501,0.104780260433187,0.335260412235153,102.773677036228,-12.7736770362281,98.3070240051447,-8.30702400514467,0.516099795641334,-0.117005676065667,-0.0753554351320952,0.534535096038191
2,0.323167730276559,-0.0733388525492972,-0.0453434083113012,0.104437381892103,0.334472710191184,102.785996922242,-12.7859969222418,97.986985409169,-7.98698540916904,0.515254671997065,-0.116930568477833,-0.0722949749861307,0.533279193544617
3,0.322240322718556,-0.0730745122280955,-0.0420844015079537,0.103838825585759,0.333091288948564,102.776886238031,-12.7768862380315,97.4406833964922,-7.44068339649225,0.513776024742595,-0.11650910750653,-0.0670988544450792,0.531076672430746
4,0.3209651630068,-0.0723797965952688,-0.0374747194823339,0.103018635863982,0.331152269234915,102.708013667264,-12.7080136672635,96.6594942175686,-6.65949421756865,0.511742925712373,-0.115401461408273,-0.059749233868517,0.527985123142403
5,0.319466162979587,-0.0711058197796936,-0.0316233750603903,0.1020586292889,0.328808005902612,102.548176880604,-12.5481768806037,95.653188560866,-5.65318856086596,0.509352938424086,-0.113370248373236,-0.0504199219712855,0.524247458390645
6,0.317959234979226,-0.0691365277802268,-0.0247401216765863,0.101098075108574,0.326328068364725,102.267346954732,-12.267346954732,94.4491686438944,-4.44916864389441,0.50695031087249,-0.110230433323066,-0.0394453470608837,0.520293476346819
7,0.316621173855644,-0.0664514032446908,-0.0170726822317253,0.100248967733726,0.323969494251387,101.853012100641,-11.8530121006407,93.0864841893533,-3.0864841893533,0.504816922601473,-0.105949303642683,-0.0272204754970109,0.516532994661013
8,0.315566905175553,-0.0631029692621691,-0.00882887883379832,0.0995824716420766,0.32193540574662,101.308114761132,-11.3081147611324,91.6025938096069,-1.60259380960694,0.503136009527349,-0.100610601502183,-0.0140766563038876,0.513289868856218
9,0.314866560296514,-0.0591634260062395,-0.000164098376525715,0.0991409507929586,0.320376791759377,100.641793506741,-10.6417935067411,90.029860724301,-0.0298607243009883,0.502019388227861,-0.0943294419742338,-0.000261636442164724,0.510804833800028
