"PercentStance","InterpV_N","InterpML_N","InterpAP_N","GRF_Vert_Sq","NetGRF_N","MLAngle_deg","MLAngle_Convert_deg","APAngle_deg","APAngle_Convert_deg","InterpV_BW","InterpML_BW","InterpAP_BW","NetGRF_BW"
0,0.019745411631498,-0.00505720287324263,0.00531784755442309,0.000389881280497298,0.0210650441255297,104.365810883701,-14.3658108837007,74.9267089721509,15.0732910278491,0.0774937662146705,-0.019847734981329,0.0208706732905145,0.082672857635517
1,0.0199503316680805,-0.0051336608341491,0.00539079492533479,0.000398015733666416,0.0212939164352992,104.430404524148,-14.430404524148,74.8791685960986,15.1208314039014,0.078298004976768,-0.0201478054715428,0.0211569659550031,0.0835711006094947
2,0.0205361323581693,-0.00535833906483769,0.00559850367759426,0.000421732732232248,0.0219496645348864,104.623713824138,-14.6237138241379,74.7507495323813,15.2492504676187,0.0805970657698952,-0.0210295881665529,0.0219721494411078,0.0861446802782041
3,0.0214891894003137,-0.00573074568066171,0.00593187422357608,0.000461785261082556,0.0230176853515575,104.932151936537,-14.9321519365368,74.568369376877,15.431630623123,0.0843374780232093,-0.0224911525928639,0.0232805110815388,0.0903362847392367
4,0.0227983129298956,-0.00623917103194545,0.0063812488951883,0.000519763072449446,0.0244828647236727,105.305280342918,-15.3052803429184,74.3630641387929,15.6369358612071,0.089475325470548,-0.0244865425115599,0.0250441479402995,0.096086596246753
5,0.0244485630467535,-0.00686981623239962,0.00693413587045244,0.00059773223505108,0.0263250612608578,105.694863479751,-15.6948634797506,74.165528310857,15.834471689143,0.0959519742808222,-0.0269616021679734,0.0272140340284633,0.103316566957841
6,0.0264089261718693,-0.00761509396339734,0.00757095619021416,0.000697431381551246,0.0285086024781426,106.085076855342,-16.0850768553424,74.0033710697144,15.9966289302856,0.103645707110947,-0.0298865540164731,0.0297133288469943,0.111886194969162
7,0.0286402593993873,-0.00847015389391308,0.00826580853348574,0.000820264458464193,0.0309892167723389,106.47520965152,-16.4752096515199,73.9014359402513,16.0985640597487,0.112402901881426,-0.0332423622210089,0.0324403788598342,0.121621729875741
8,0.0311097787237113,-0.00942128255135225,0.0089926312636557,0.000967818332238279,0.0337260480073603,106.848406929473,-16.8484069294729,73.8774677635431,16.1225322364569,0.122094892950201,-0.0369752062454955,0.0352929013487272,0.132362825774569
9,0.0337909467912685,-0.0104488192276291,0.00972832961074903,0.00114182808505034,0.0366830520174833,107.182627893886,-17.1826278938862,73.9390218300534,16.0609781699466,0.132617530577977,-0.0410079247552162,0.038180257499015,0.143968022046638
10,0.0366522661183167,-0.0115403684948226,0.0104516637805611,0.00134338861160791,0.0398221796538825,107.47718087775,-17.4771808777497,74.0841091803201,15.9158908196799,0.143847198266549,-0.0452918700738719,0.0410190886207264,0.156287989222459
11,0.0396570918479271,-0.0126899410895104,0.011144480843972,0.00157268493383492,0.0431035844445891,107.744241359178,-17.7442413591779,74.3035148278597,15.6964851721403,0.155640077896103,-0.049803536458047,0.0437381508790108,0.169166343974055
12,0.042781002925369,-0.0138881603484115,0.0117940542775484,0.00183021421130043,0.046499407796932,107.985183290844,-17.9851832908442,74.5872999569889,15.4127000430111,0.167900325452783,-0.0545061238163716,0.0462874971646326,0.182493751165353
13,0.0460132257626808,-0.0151172654057706,0.0123965843088064,0.00211721694508743,0.0499942392777537,108.187510573443,-18.1875105734435,74.9217500664959,15.0782499335041,0.180585658409265,-0.0593299270242175,0.048652214712741,0.196209730289457
14,0.0493413027580618,-0.0163624638666708,0.0129518076511684,0.00243456415786272,0.0535727888305592,108.346449843545,-18.3464498435446,75.2920049767272,14.7079950232728,0.193647185078736,-0.0642168911564787,0.0508312702165165,0.21025427327535
15,0.0527387623432981,-0.0176192245320996,0.0134576026758011,0.00278137705350288,0.0572094502367848,108.473695898723,-18.4736958987226,75.6850451946284,14.3149548053716,0.206981013906194,-0.0691492328575338,0.0528163370321866,0.224526884759752
16,0.056174246983373,-0.0188835528835725,0.013914372679379,0.00315554602414899,0.060874825344442,108.580601983715,-18.5806019837155,76.0878407613649,13.9121592386351,0.220464077642751,-0.0741112750532673,0.0546089979567465,0.238912187380071
