"PercentStance","InterpV_N","InterpML_N","InterpAP_N","GRF_Vert_Sq","NetGRF_N","MLAngle_deg","MLAngle_Convert_deg","APAngle_deg","APAngle_Convert_deg","InterpV_BW","InterpML_BW","InterpAP_BW","NetGRF_BW"
0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.0680990520573578,-0.0284426945462839,0.00983215056688535,0.00463748089111073,0.0744522595287332,112.668660855354,-22.668660855354,81.784399941705,8.21560005829498,0.267264725499834,-0.111627529616499,0.0385877180803978,0.29219882075641
18,0.068516723758238,-0.0296330316916331,0.010944037336017,0.0046945414345627,0.0754481938485751,113.388164482786,-23.3881644827861,80.9249207349078,9.07507926509224,0.268903939396539,-0.116299182463238,0.0429514809105848,0.296107511179651
19,0.0690489036656828,-0.0307222875562855,0.012214369831771,0.00476775109743274,0.0765558677079106,113.985964719631,-23.985964719631,79.9684682674425,10.0315317325575,0.270992557557625,-0.120574126986992,0.0479370872518485,0.300454739826965
20,0.0696956694389217,-0.0317099824557185,0.0136190743007983,0.00485748633853945,0.0777720291023199,114.464481370487,-24.4644813704871,78.9432859010032,11.0567140989968,0.273530884768139,-0.124450480595442,0.0534500561255821,0.30522774372967
21,0.0704555772157027,-0.0325911614662925,0.0150994363277395,0.00496398836079784,0.0790832798000642,114.824196976711,-24.8241969767108,77.9038335744324,12.0961664255676,0.276513254378739,-0.127908796963471,0.0592599541905004,0.310373939560692
22,0.0713048879095532,-0.033386917718591,0.016624799822323,0.00508438703979395,0.0804702260694863,115.090291375755,-25.0902913757554,76.8758902620865,13.1241097379135,0.279846498860099,-0.131031859178144,0.0652464671205768,0.315817213773494
23,0.0722513525031856,-0.0340827838047506,0.0181315712973014,0.00522025793853958,0.08191854471443,115.254432939821,-25.2544329398208,75.9124684120805,14.0875315879195,0.283561038081576,-0.133762887773746,0.0711600129407432,0.321501352882378
24,0.0733105964965071,-0.0346556176903511,0.0195441152752605,0.00537444355867367,0.0834111973182625,115.301186568899,-25.3011865688993,75.0725063730318,14.9274936269682,0.287718196611095,-0.136011058439368,0.076703749117977,0.327359487120339
25,0.0744510795972284,-0.0351120773493359,0.0208440142238282,0.00554296325319283,0.0849134509835852,115.249161826828,-25.2491618268282,74.3593863814429,15.6406136185571,0.292194189942027,-0.13780250137102,0.0818053933431246,0.33325530213338
26,0.0756394852948824,-0.0354280716654358,0.0220106038274948,0.00572133173567472,0.0863767716371532,115.097482706961,-25.0974827069608,73.7753437961081,16.2246562038919,0.296858262538785,-0.139042667446765,0.086383845476824,0.338998318827132
27,0.076843294706041,-0.0355657386327752,0.0230198453445179,0.00590489194127947,0.0877480882154128,114.8363341599,-24.8363341598999,73.3234300922276,16.6765699077724,0.301582789270177,-0.139582961667092,0.0903447619486575,0.344380252022813
28,0.0779925749351459,-0.0355182261645732,0.0239110007997856,0.00608284174501435,0.0889725918142181,114.484767650032,-24.4847676500318,72.9554829603691,17.0445170396309,0.306093308222708,-0.139396492011669,0.0938422323382479,0.349185996131154
