"PercentStance","InterpV_N","InterpML_N","InterpAP_N","GRF_Vert_Sq","NetGRF_N","MLAngle_deg","MLAngle_Convert_deg","APAngle_deg","APAngle_Convert_deg","InterpV_BW","InterpML_BW","InterpAP_BW","NetGRF_BW"
0,0.0721270602331775,-0.022224388134623,-0.0101789063410011,0.00520231281788042,0.0761567224881537,107.125545981963,-17.1255459819627,98.0327997724279,-8.03279977242786,0.350471624067918,-0.107990224172124,-0.0494601863022405,0.370052101497346
1,0.0721061104744853,-0.0222709163559147,-0.00995466322363433,0.00519929116775868,0.0761208263419861,107.163988274769,-17.1639882747694,97.8603254969536,-7.86032549695358,0.350369827378451,-0.108216308823687,-0.0483705695997781,0.369877679018397
2,0.0720300393262102,-0.0224207811733716,-0.00928128555075822,0.00518832656533539,0.0760076328748259,107.289791627274,-17.2897916272741,97.3422757340857,-7.34227573408567,0.350000191089457,-0.108944514933778,-0.0450985692456668,0.369327662171166
3,0.0718885173397766,-0.0226784618973418,-0.0081617146305858,0.00516795892531136,0.075821402948321,107.508770949727,-17.5087709497271,96.477223357079,-6.477223357079,0.349312523516893,-0.110196607858804,-0.0396584773109125,0.368422754850928
4,0.071713450753686,-0.0230216238776959,-0.00668826338956298,0.00514281901900135,0.0756144632470245,107.797793588234,-17.7977935882337,95.3282049076686,-5.32820490766856,0.348461859833265,-0.111864061602021,-0.0324988502894217,0.367417216943754
5,0.0715403766230453,-0.0234618817609709,-0.00495118923927933,0.00511802548736717,0.0754519692123148,108.157059556357,-18.1570595563574,93.9590316866832,-3.95903168668322,0.347620877662999,-0.114003312735524,-0.0240582567506284,0.366627644374707
6,0.0714148711650061,-0.0240253582710553,-0.00303341094276525,0.00510008382351442,0.0754089069375407,108.593945279389,-18.5939452793894,92.4322277739813,-2.43222777398131,0.347011035787202,-0.116741293834088,-0.0147396061358856,0.366418401057049
7,0.0714144379426058,-0.0247070663048298,-0.00106463744381562,0.0051000219466583,0.0755750919611503,109.083951125712,-19.0839511257119,90.8540949937167,-0.854094993716714,0.347008930722088,-0.120053772132312,-0.00517316542184461,0.3672259084604
8,0.071597616113727,-0.0255182388493839,0.000863768413856513,0.00512621863316861,0.07601411213068,109.616669827621,-19.6166698276213,89.3088054258769,0.691194574123074,0.347899009298965,-0.123995329686025,0.00419712543176148,0.369359145435763
9,0.0719970834259361,-0.0264787347939938,0.0027087248222588,0.0051835800218412,0.0767596287660029,110.192265601025,-20.1922656010249,87.8453941636584,2.15460583634156,0.349840055519612,-0.128662462555849,0.0131619281936774,0.372981675247827
10,0.0726519139208724,-0.0275647788616055,0.00440743135719378,0.00527830059636585,0.0778302195886883,110.777188388084,-20.777188388084,86.5284037765228,3.47159622347718,0.353021933531936,-0.133939644614215,0.0214160901710096,0.378183768652518
